Source,SiteID,Date Time,Water Level,Date,Time,Identifier
USGS,01484085,2016-01-10 03:54:00-05:00,4.51,2016-01-10,08:54,01484085-2016-2249
USGS,01484085,2016-01-10 04:18:00-05:00,4.54,2016-01-10,09:18,01484085-2016-2253
USGS,01484085,2016-01-10 04:24:00-05:00,4.52,2016-01-10,09:24,01484085-2016-2254
USGS,01484085,2016-01-10 04:36:00-05:00,4.57,2016-01-10,09:36,01484085-2016-2256
USGS,01484085,2016-01-10 04:42:00-05:00,4.52,2016-01-10,09:42,01484085-2016-2257
USGS,01484085,2016-02-09 04:06:00-05:00,4.65,2016-02-09,09:06,01484085-2016-8491
USGS,01484085,2016-02-09 04:12:00-05:00,4.53,2016-02-09,09:12,01484085-2016-8492
USGS,01484085,2016-02-09 04:24:00-05:00,4.72,2016-02-09,09:24,01484085-2016-8494
USGS,01484085,2016-02-09 04:30:00-05:00,4.72,2016-02-09,09:30,01484085-2016-8495
USGS,01484085,2016-02-09 04:36:00-05:00,4.61,2016-02-09,09:36,01484085-2016-8496
USGS,01484085,2016-02-09 04:42:00-05:00,4.69,2016-02-09,09:42,01484085-2016-8497
USGS,01484085,2016-02-09 04:48:00-05:00,4.67,2016-02-09,09:48,01484085-2016-8498
USGS,01484085,2016-02-09 04:54:00-05:00,4.73,2016-02-09,09:54,01484085-2016-8499
USGS,01484085,2016-02-09 05:00:00-05:00,4.71,2016-02-09,10:00,01484085-2016-8500
USGS,01484085,2016-02-09 05:06:00-05:00,4.71,2016-02-09,10:06,01484085-2016-8501
USGS,01484085,2016-02-09 05:12:00-05:00,4.8,2016-02-09,10:12,01484085-2016-8502
USGS,01484085,2016-02-09 05:18:00-05:00,4.84,2016-02-09,10:18,01484085-2016-8503
USGS,01484085,2016-02-09 05:24:00-05:00,4.69,2016-02-09,10:24,01484085-2016-8504
USGS,01484085,2016-02-09 05:30:00-05:00,4.64,2016-02-09,10:30,01484085-2016-8505
USGS,01484085,2016-02-09 05:36:00-05:00,4.62,2016-02-09,10:36,01484085-2016-8506
USGS,01484085,2016-02-09 05:42:00-05:00,4.64,2016-02-09,10:42,01484085-2016-8507
USGS,01484085,2016-02-09 05:48:00-05:00,4.57,2016-02-09,10:48,01484085-2016-8508
USGS,01484085,2016-09-29 04:54:00-04:00,4.54,2016-09-29,08:54,01484085-2016-63198
USGS,01484085,2016-09-29 05:06:00-04:00,4.56,2016-09-29,09:06,01484085-2016-63200
USGS,01484085,2016-09-29 05:18:00-04:00,4.54,2016-09-29,09:18,01484085-2016-63202
USGS,01484085,2016-09-29 06:00:00-04:00,4.64,2016-09-29,10:00,01484085-2016-63209
USGS,01484085,2016-09-29 16:42:00-04:00,4.74,2016-09-29,20:42,01484085-2016-63316
USGS,01484085,2016-09-29 17:30:00-04:00,4.79,2016-09-29,21:30,01484085-2016-63324
USGS,01484085,2016-09-29 17:36:00-04:00,4.59,2016-09-29,21:36,01484085-2016-63325
USGS,01484085,2016-09-29 17:42:00-04:00,4.74,2016-09-29,21:42,01484085-2016-63326
USGS,01484085,2016-09-29 17:48:00-04:00,4.55,2016-09-29,21:48,01484085-2016-63327
USGS,01484085,2016-09-29 17:54:00-04:00,4.82,2016-09-29,21:54,01484085-2016-63328
USGS,01484085,2016-09-29 18:00:00-04:00,4.5,2016-09-29,22:00,01484085-2016-63329
USGS,01484085,2016-09-29 18:06:00-04:00,4.59,2016-09-29,22:06,01484085-2016-63330
USGS,01484085,2016-09-29 18:12:00-04:00,4.51,2016-09-29,22:12,01484085-2016-63331
USGS,01484085,2016-09-29 18:36:00-04:00,4.73,2016-09-29,22:36,01484085-2016-63335
USGS,01484085,2016-09-30 05:06:00-04:00,4.6,2016-09-30,09:06,01484085-2016-63440
USGS,01484085,2016-09-30 05:12:00-04:00,4.54,2016-09-30,09:12,01484085-2016-63441
USGS,01484085,2016-09-30 06:00:00-04:00,4.58,2016-09-30,10:00,01484085-2016-63449
USGS,01484085,2016-09-30 06:12:00-04:00,4.56,2016-09-30,10:12,01484085-2016-63451
USGS,01484085,2016-09-30 06:30:00-04:00,4.56,2016-09-30,10:30,01484085-2016-63454
