Source,SiteID,Date Time,Water Level,Date,Time,Measured Water Level,VDatum,Offset,Identifier
USGS,01484085,2019-03-21 18:00:00-04:00,4.63,2019-03-21,18:00:00,4.63,NAVD,0,01484085-2019-18708
USGS,01484085,2019-03-21 18:06:00-04:00,4.79,2019-03-21,18:06:00,4.79,NAVD,0,01484085-2019-18709
USGS,01484085,2019-03-21 18:18:00-04:00,4.65,2019-03-21,18:18:00,4.65,NAVD,0,01484085-2019-18711
USGS,01484085,2019-03-21 18:30:00-04:00,4.65,2019-03-21,18:30:00,4.65,NAVD,0,01484085-2019-18713
USGS,01484085,2019-03-21 18:36:00-04:00,4.57,2019-03-21,18:36:00,4.57,NAVD,0,01484085-2019-18714
USGS,01484085,2019-03-21 18:42:00-04:00,4.78,2019-03-21,18:42:00,4.78,NAVD,0,01484085-2019-18715
USGS,01484085,2019-03-21 19:00:00-04:00,4.86,2019-03-21,19:00:00,4.86,NAVD,0,01484085-2019-18718
USGS,01484085,2019-03-21 19:06:00-04:00,4.86,2019-03-21,19:06:00,4.86,NAVD,0,01484085-2019-18719
USGS,01484085,2019-03-21 19:12:00-04:00,4.55,2019-03-21,19:12:00,4.55,NAVD,0,01484085-2019-18720
USGS,01484085,2019-03-21 19:18:00-04:00,4.52,2019-03-21,19:18:00,4.52,NAVD,0,01484085-2019-18721
USGS,01484085,2019-03-21 19:54:00-04:00,4.5,2019-03-21,19:54:00,4.5,NAVD,0,01484085-2019-18727
USGS,01484085,2019-05-05 19:12:00-04:00,4.5,2019-05-05,19:12:00,4.5,NAVD,0,01484085-2019-29512
USGS,01484085,2019-10-10 16:30:00-04:00,4.52,2019-10-10,16:30:00,4.52,NAVD,0,01484085-2019-67311
USGS,01484085,2019-10-10 16:42:00-04:00,4.54,2019-10-10,16:42:00,4.54,NAVD,0,01484085-2019-67313
USGS,01484085,2019-10-10 16:48:00-04:00,4.54,2019-10-10,16:48:00,4.54,NAVD,0,01484085-2019-67314
USGS,01484085,2019-10-10 16:54:00-04:00,4.52,2019-10-10,16:54:00,4.52,NAVD,0,01484085-2019-67315
USGS,01484085,2019-10-11 16:42:00-04:00,4.54,2019-10-11,16:42:00,4.54,NAVD,0,01484085-2019-67551
USGS,01484085,2019-10-11 16:48:00-04:00,4.53,2019-10-11,16:48:00,4.53,NAVD,0,01484085-2019-67552
USGS,01484085,2019-10-11 16:54:00-04:00,4.55,2019-10-11,16:54:00,4.55,NAVD,0,01484085-2019-67553
USGS,01484085,2019-10-11 17:00:00-04:00,4.5,2019-10-11,17:00:00,4.5,NAVD,0,01484085-2019-67554
USGS,01484085,2019-10-11 17:06:00-04:00,4.5,2019-10-11,17:06:00,4.5,NAVD,0,01484085-2019-67555
USGS,01484085,2019-10-11 17:12:00-04:00,4.6,2019-10-11,17:12:00,4.6,NAVD,0,01484085-2019-67556
USGS,01484085,2019-10-11 17:18:00-04:00,4.58,2019-10-11,17:18:00,4.58,NAVD,0,01484085-2019-67557
USGS,01484085,2019-10-11 17:24:00-04:00,4.61,2019-10-11,17:24:00,4.61,NAVD,0,01484085-2019-67558
USGS,01484085,2019-10-11 17:30:00-04:00,4.5,2019-10-11,17:30:00,4.5,NAVD,0,01484085-2019-67559
USGS,01484085,2019-10-11 17:36:00-04:00,4.57,2019-10-11,17:36:00,4.57,NAVD,0,01484085-2019-67560
USGS,01484085,2019-10-11 17:42:00-04:00,4.59,2019-10-11,17:42:00,4.59,NAVD,0,01484085-2019-67561
USGS,01484085,2019-10-11 17:48:00-04:00,4.56,2019-10-11,17:48:00,4.56,NAVD,0,01484085-2019-67562
USGS,01484085,2019-10-11 17:54:00-04:00,4.58,2019-10-11,17:54:00,4.58,NAVD,0,01484085-2019-67563
USGS,01484085,2019-10-11 18:00:00-04:00,4.54,2019-10-11,18:00:00,4.54,NAVD,0,01484085-2019-67564
USGS,01484085,2019-10-11 18:06:00-04:00,4.51,2019-10-11,18:06:00,4.51,NAVD,0,01484085-2019-67565
