,Date Time,Water Level,SiteID,Source,Date,Time,Identifier
0,2016-01-10 03:36:00-05:00,4.183,8557380,NOAA,2016-01-10,2023-04-16 03:36:00,8557380-2016-9
1,2016-01-10 04:36:00-05:00,4.57,1484085,USGS,2016-01-10,2023-04-16 09:36:00,01484085-2016-2256
2,2016-01-10 06:24:00-05:00,4.836,8551910,NOAA,2016-01-10,2023-04-16 06:24:00,8551910-2016-9
3,2016-01-22 16:12:00-05:00,2.94,1484085,USGS,2016-01-22,2023-04-16 21:12:00,01484085-2016-5012
4,2016-01-23 03:24:00-05:00,6.627,8557380,NOAA,2016-01-23,2023-04-16 03:24:00,8557380-2016-22
5,2016-01-23 06:18:00-05:00,4.764,8551910,NOAA,2016-01-23,2023-04-16 06:18:00,8551910-2016-22
6,2016-02-09 04:00:00-05:00,4.61,8557380,NOAA,2016-02-09,2023-04-16 04:00:00,8557380-2016-39
7,2016-02-09 05:18:00-05:00,4.84,1484085,USGS,2016-02-09,2023-04-16 10:18:00,01484085-2016-8503
8,2016-02-09 06:48:00-05:00,5.023,8551910,NOAA,2016-02-09,2023-04-16 06:48:00,8551910-2016-39
9,2016-02-24 04:30:00-05:00,2.95,8557380,NOAA,2016-02-24,2023-04-16 04:30:00,8557380-2016-54
10,2016-02-24 17:18:00-05:00,3.55,1484085,USGS,2016-02-24,2023-04-16 22:18:00,01484085-2016-11503
11,2016-02-24 19:30:00-05:00,4.633,8551910,NOAA,2016-02-24,2023-04-16 19:30:00,8551910-2016-55
12,2016-05-05 15:30:00-04:00,4.245,8557380,NOAA,2016-05-05,2023-04-16 15:30:00,8557380-2016-125
13,2016-05-05 17:06:00-04:00,4.38,1484085,USGS,2016-05-05,2023-04-16 21:06:00,01484085-2016-28521
14,2016-05-06 18:54:00-04:00,4.705,8551910,NOAA,2016-05-06,2023-04-16 18:54:00,8551910-2016-126
15,2016-09-29 15:48:00-04:00,4.38,8557380,NOAA,2016-09-29,2023-04-16 15:48:00,8557380-2016-272
16,2016-09-29 17:54:00-04:00,4.82,1484085,USGS,2016-09-29,2023-04-16 21:54:00,01484085-2016-63328
17,2016-09-29 18:36:00-04:00,4.606,8551910,NOAA,2016-09-29,2023-04-16 18:36:00,8551910-2016-272
18,2017-05-25 16:36:00-04:00,4.15,8557380,NOAA,2017-05-25,2023-04-16 16:36:00,8557380-2017-145
19,2017-05-25 17:24:00-04:00,4.36,1484085,USGS,2017-05-25,2023-04-16 21:24:00,01484085-2017-32231
20,2017-05-25 18:42:00-04:00,4.849,8551910,NOAA,2017-05-25,2023-04-16 18:42:00,8551910-2017-144
21,2017-07-24 17:18:00-04:00,3.94,8557380,NOAA,2017-07-24,2023-04-16 17:18:00,8557380-2017-205
22,2017-07-24 19:06:00-04:00,4.46,1484085,USGS,2017-07-24,2023-04-16 23:06:00,01484085-2017-46638
23,2017-07-24 20:12:00-04:00,4.642,8551910,NOAA,2017-07-24,2023-04-16 20:12:00,8551910-2017-205
24,2017-09-19 16:00:00-04:00,4.583,8557380,NOAA,2017-09-19,2023-04-16 16:00:00,8557380-2017-262
25,2017-09-19 17:48:00-04:00,4.25,1484085,USGS,2017-09-19,2023-04-16 21:48:00,01484085-2017-60062
26,2017-09-20 19:24:00-04:00,4.396,8551910,NOAA,2017-09-20,2023-04-16 19:24:00,8551910-2017-263
27,2018-03-05 18:36:00-05:00,4.118,8557380,NOAA,2018-03-05,2023-04-16 18:36:00,8557380-2018-63
28,2018-03-06 20:36:00-05:00,4.36,1484085,USGS,2018-03-07,2023-04-16 01:36:00,01484085-2018-13418
29,2018-03-06 21:48:00-05:00,5.059,8551910,NOAA,2018-03-06,2023-04-16 21:48:00,8551910-2018-65
30,2018-04-15 16:18:00-04:00,4.032,8557380,NOAA,2018-04-15,2023-04-16 16:18:00,8557380-2018-104
31,2018-04-15 17:54:00-04:00,4.75,1484085,USGS,2018-04-15,2023-04-16 21:54:00,01484085-2018-22958
32,2018-04-16 07:12:00-04:00,5.125,8551910,NOAA,2018-04-16,2023-04-16 07:12:00,8551910-2018-105
33,2018-05-18 19:00:00-04:00,3.917,8557380,NOAA,2018-05-18,2023-04-16 19:00:00,8557380-2018-137
34,2018-05-18 20:06:00-04:00,4.51,1484085,USGS,2018-05-19,2023-04-16 00:06:00,01484085-2018-30887
35,2018-05-18 22:00:00-04:00,4.426,8551910,NOAA,2018-05-18,2023-04-16 22:00:00,8551910-2018-138
36,2018-08-10 17:36:00-04:00,4.14,1484085,USGS,2018-08-10,2023-04-16 21:36:00,01484085-2018-51006
37,2018-08-10 18:24:00-04:00,4.577,8551910,NOAA,2018-08-10,2023-04-16 18:24:00,8551910-2018-221
38,2018-08-11 16:30:00-04:00,3.878,8557380,NOAA,2018-08-11,2023-04-16 16:30:00,8557380-2018-222
39,2018-09-09 16:36:00-04:00,5.249,8557380,NOAA,2018-09-09,2023-04-16 16:36:00,8557380-2018-251
40,2018-09-09 18:48:00-04:00,5.72,1484085,USGS,2018-09-09,2023-04-16 22:48:00,01484085-2018-58206
41,2018-09-09 19:18:00-04:00,5.65,8551910,NOAA,2018-09-09,2023-04-16 19:18:00,8551910-2018-251
42,2018-09-24 16:24:00-04:00,3.497,8557380,NOAA,2018-09-24,2023-04-16 16:24:00,8557380-2018-266
