Date Time, Water Level, Sigma,Flag, F, R, L, Quality 
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v
2016-05-05 17:42:00-04:00,4.541,0.004,0,0,0,0,v
2016-05-05 17:48:00-04:00,4.587,0.002,0,0,0,0,v
2016-05-05 17:54:00-04:00,4.6,0.003,0,0,0,0,v
2016-05-05 18:00:00-04:00,4.629,0.002,0,0,0,0,v
2016-05-05 18:06:00-04:00,4.636,0.002,0,0,0,0,v
2016-05-05 18:12:00-04:00,4.656,0.002,0,0,0,0,v
2016-05-05 18:18:00-04:00,4.652,0.002,0,0,0,0,v
2016-05-05 18:24:00-04:00,4.659,0.001,0,0,0,0,v
2016-05-05 18:30:00-04:00,4.639,0.002,0,0,0,0,v
2016-05-05 18:36:00-04:00,4.633,0.001,0,0,0,0,v
2016-05-05 18:42:00-04:00,4.626,0.002,0,0,0,0,v
2016-05-05 18:48:00-04:00,4.584,0.002,0,0,0,0,v
2016-05-05 18:54:00-04:00,4.564,0.002,0,0,0,0,v
2016-05-06 18:06:00-04:00,4.538,0.005,0,0,0,0,v
2016-05-06 18:12:00-04:00,4.554,0.002,0,0,0,0,v
2016-05-06 18:18:00-04:00,4.593,0.002,0,0,0,0,v
2016-05-06 18:24:00-04:00,4.6,0.002,0,0,0,0,v
2016-05-06 18:30:00-04:00,4.649,0.002,0,0,0,0,v
2016-05-06 18:36:00-04:00,4.675,0.002,0,0,0,0,v
2016-05-06 18:42:00-04:00,4.685,0.003,0,0,0,0,v
2016-05-06 18:48:00-04:00,4.712,0.001,0,0,0,0,v
2016-05-06 18:54:00-04:00,4.698,0.002,0,0,0,0,v
2016-05-06 19:00:00-04:00,4.715,0.004,0,0,0,0,v
2016-05-06 19:06:00-04:00,4.675,0.005,0,0,0,0,v
2016-05-06 19:12:00-04:00,4.689,0.003,0,0,0,0,v
2016-05-06 19:18:00-04:00,4.669,0.001,0,0,0,0,v
2016-05-06 19:24:00-04:00,4.629,0.001,0,0,0,0,v
2016-05-06 19:30:00-04:00,4.597,0.002,0,0,0,0,v
2016-05-06 19:36:00-04:00,4.551,0.002,0,0,0,0,v
