Date Time,Water Level,SiteID,Source,Date,Time,Measured Water Level,VDatum,Offset,Identifier
2016-01-01 07:42:00-05:00,0.4,8570283,NOAA,2016-01-01,07:42:00,0.404,NAVD,0,8570283-2016-0
2016-01-01 20:24:00-05:00,0.29,8570283,NOAA,2016-01-01,20:24:00,0.289,NAVD,0,8570283-2016-1
2016-01-02 21:54:00-05:00,0.31,8570283,NOAA,2016-01-02,21:54:00,0.308,NAVD,0,8570283-2016-2
2016-01-04 10:42:00-05:00,0.65,8570283,NOAA,2016-01-04,10:42:00,0.65,NAVD,0,8570283-2016-3
2016-01-04 23:36:00-05:00,1.07,8570283,NOAA,2016-01-04,23:36:00,1.073,NAVD,0,8570283-2016-4
2016-01-06 00:00:00-05:00,1.0,8570283,NOAA,2016-01-06,00:00:00,1.004,NAVD,0,8570283-2016-5
2016-01-07 00:48:00-05:00,0.65,8570283,NOAA,2016-01-07,00:48:00,0.653,NAVD,0,8570283-2016-6
2016-01-08 02:12:00-05:00,1.1,8570283,NOAA,2016-01-08,02:12:00,1.102,NAVD,0,8570283-2016-7
2016-01-09 02:36:00-05:00,1.82,8570283,NOAA,2016-01-09,02:36:00,1.821,NAVD,0,8570283-2016-8
2016-01-10 03:24:00-05:00,2.24,8570283,NOAA,2016-01-10,03:24:00,2.241,NAVD,0,8570283-2016-9
2016-01-11 03:36:00-05:00,1.26,8570283,NOAA,2016-01-11,03:36:00,1.263,NAVD,0,8570283-2016-10
2016-01-12 04:24:00-05:00,0.98,8570283,NOAA,2016-01-12,04:24:00,0.984,NAVD,0,8570283-2016-11
2016-01-13 05:24:00-05:00,0.43,8570283,NOAA,2016-01-13,05:24:00,0.433,NAVD,0,8570283-2016-12
2016-01-14 06:06:00-05:00,0.16,8570283,NOAA,2016-01-14,06:06:00,0.161,NAVD,0,8570283-2016-13
2016-01-15 07:00:00-05:00,0.32,8570283,NOAA,2016-01-15,07:00:00,0.318,NAVD,0,8570283-2016-14
2016-01-15 20:24:00-05:00,1.5,8570283,NOAA,2016-01-15,20:24:00,1.503,NAVD,0,8570283-2016-15
2016-01-17 09:24:00-05:00,1.11,8570283,NOAA,2016-01-17,09:24:00,1.109,NAVD,0,8570283-2016-16
2016-01-17 21:24:00-05:00,1.39,8570283,NOAA,2016-01-17,21:24:00,1.391,NAVD,0,8570283-2016-17
2016-01-18 22:24:00-05:00,0.0,8570283,NOAA,2016-01-18,22:24:00,0.0,NAVD,0,8570283-2016-18
2016-01-19 23:30:00-05:00,-0.41,8570283,NOAA,2016-01-19,23:30:00,-0.41,NAVD,0,8570283-2016-19
2016-01-21 00:36:00-05:00,0.41,8570283,NOAA,2016-01-21,00:36:00,0.407,NAVD,0,8570283-2016-20
2016-01-22 01:30:00-05:00,0.68,8570283,NOAA,2016-01-22,01:30:00,0.676,NAVD,0,8570283-2016-21
2016-01-23 14:54:00-05:00,3.04,8570283,NOAA,2016-01-23,14:54:00,3.035,NAVD,0,8570283-2016-22
2016-01-24 03:36:00-05:00,2.66,8570283,NOAA,2016-01-24,03:36:00,2.657,NAVD,0,8570283-2016-23
2016-01-25 03:54:00-05:00,1.81,8570283,NOAA,2016-01-25,03:54:00,1.811,NAVD,0,8570283-2016-24
2016-01-26 04:18:00-05:00,0.98,8570283,NOAA,2016-01-26,04:18:00,0.978,NAVD,0,8570283-2016-25
2016-01-27 05:00:00-05:00,0.46,8570283,NOAA,2016-01-27,05:00:00,0.456,NAVD,0,8570283-2016-26
2016-01-28 05:36:00-05:00,0.63,8570283,NOAA,2016-01-28,05:36:00,0.63,NAVD,0,8570283-2016-27
2016-01-29 06:24:00-05:00,1.07,8570283,NOAA,2016-01-29,06:24:00,1.073,NAVD,0,8570283-2016-28
2016-01-30 06:48:00-05:00,0.43,8570283,NOAA,2016-01-30,06:48:00,0.433,NAVD,0,8570283-2016-29
2016-01-30 19:06:00-05:00,0.2,8570283,NOAA,2016-01-30,19:06:00,0.203,NAVD,0,8570283-2016-30
2016-01-31 20:06:00-05:00,0.15,8570283,NOAA,2016-01-31,20:06:00,0.154,NAVD,0,8570283-2016-31
2016-02-01 22:00:00-05:00,0.4,8570283,NOAA,2016-02-01,22:00:00,0.4,NAVD,0,8570283-2016-32
2016-02-02 22:42:00-05:00,0.62,8570283,NOAA,2016-02-02,22:42:00,0.62,NAVD,0,8570283-2016-33
2016-02-03 23:06:00-05:00,0.75,8570283,NOAA,2016-02-03,23:06:00,0.748,NAVD,0,8570283-2016-34
2016-02-05 00:18:00-05:00,1.03,8570283,NOAA,2016-02-05,00:18:00,1.033,NAVD,0,8570283-2016-35
2016-02-06 01:00:00-05:00,0.81,8570283,NOAA,2016-02-06,01:00:00,0.814,NAVD,0,8570283-2016-36
2016-02-07 14:30:00-05:00,0.86,8570283,NOAA,2016-02-07,14:30:00,0.863,NAVD,0,8570283-2016-37
2016-02-08 15:18:00-05:00,2.01,8570283,NOAA,2016-02-08,15:18:00,2.014,NAVD,0,8570283-2016-38
2016-02-09 03:54:00-05:00,2.52,8570283,NOAA,2016-02-09,03:54:00,2.516,NAVD,0,8570283-2016-39
2016-02-10 04:00:00-05:00,2.0,8570283,NOAA,2016-02-10,04:00:00,1.998,NAVD,0,8570283-2016-40
2016-02-11 04:36:00-05:00,0.9,8570283,NOAA,2016-02-11,04:36:00,0.899,NAVD,0,8570283-2016-41
2016-02-12 18:12:00-05:00,0.54,8570283,NOAA,2016-02-12,18:12:00,0.535,NAVD,0,8570283-2016-42
2016-02-13 06:18:00-05:00,0.44,8570283,NOAA,2016-02-13,06:18:00,0.443,NAVD,0,8570283-2016-43
2016-02-14 07:06:00-05:00,-0.18,8570283,NOAA,2016-02-14,07:06:00,-0.177,NAVD,0,8570283-2016-44
2016-02-14 19:54:00-05:00,0.13,8570283,NOAA,2016-02-14,19:54:00,0.128,NAVD,0,8570283-2016-45
2016-02-16 08:30:00-05:00,0.69,8570283,NOAA,2016-02-16,08:30:00,0.689,NAVD,0,8570283-2016-46
2016-02-16 23:24:00-05:00,0.46,8570283,NOAA,2016-02-16,23:24:00,0.459,NAVD,0,8570283-2016-47
2016-02-17 23:12:00-05:00,0.37,8570283,NOAA,2016-02-17,23:12:00,0.374,NAVD,0,8570283-2016-48
2016-02-19 00:24:00-05:00,0.61,8570283,NOAA,2016-02-19,00:24:00,0.607,NAVD,0,8570283-2016-49
2016-02-20 01:06:00-05:00,0.64,8570283,NOAA,2016-02-20,01:06:00,0.636,NAVD,0,8570283-2016-50
2016-02-21 02:12:00-05:00,0.45,8570283,NOAA,2016-02-21,02:12:00,0.453,NAVD,0,8570283-2016-51
2016-02-22 02:54:00-05:00,1.07,8570283,NOAA,2016-02-22,02:54:00,1.07,NAVD,0,8570283-2016-52
2016-02-23 03:36:00-05:00,1.11,8570283,NOAA,2016-02-23,03:36:00,1.112,NAVD,0,8570283-2016-53
2016-02-24 16:12:00-05:00,1.57,8570283,NOAA,2016-02-24,16:12:00,1.572,NAVD,0,8570283-2016-54
2016-02-25 16:24:00-05:00,0.36,8570283,NOAA,2016-02-25,16:24:00,0.358,NAVD,0,8570283-2016-55
2016-02-26 04:54:00-05:00,-0.29,8570283,NOAA,2016-02-26,04:54:00,-0.292,NAVD,0,8570283-2016-56
2016-02-27 18:00:00-05:00,0.15,8570283,NOAA,2016-02-27,18:00:00,0.151,NAVD,0,8570283-2016-57
2016-02-28 18:36:00-05:00,-0.25,8570283,NOAA,2016-02-28,18:36:00,-0.246,NAVD,0,8570283-2016-58
