Date Time,Water Level,SiteID,Source,Date,Time,Measured Water Level,VDatum,Offset,Identifier
2020-01-01 10:24:00-05:00,2.5,8551910,NOAA,2020-01-01,10:24:00,2.5,NAVD,0,8551910-2020-0
2020-01-02 11:12:00-05:00,2.5,8551910,NOAA,2020-01-02,11:12:00,2.497,NAVD,0,8551910-2020-1
2020-01-03 12:00:00-05:00,2.42,8551910,NOAA,2020-01-03,12:00:00,2.418,NAVD,0,8551910-2020-2
2020-01-04 00:36:00-05:00,2.95,8551910,NOAA,2020-01-04,00:36:00,2.953,NAVD,0,8551910-2020-3
2020-01-05 14:06:00-05:00,1.03,8551910,NOAA,2020-01-05,14:06:00,1.033,NAVD,0,8551910-2020-4
2020-01-06 02:18:00-05:00,2.83,8551910,NOAA,2020-01-06,02:18:00,2.831,NAVD,0,8551910-2020-5
2020-01-07 03:18:00-05:00,2.75,8551910,NOAA,2020-01-07,03:18:00,2.753,NAVD,0,8551910-2020-6
2020-01-08 04:06:00-05:00,2.86,8551910,NOAA,2020-01-08,04:06:00,2.858,NAVD,0,8551910-2020-7
2020-01-09 17:24:00-05:00,1.61,8551910,NOAA,2020-01-09,17:24:00,1.614,NAVD,0,8551910-2020-8
2020-01-10 06:00:00-05:00,2.77,8551910,NOAA,2020-01-10,06:00:00,2.772,NAVD,0,8551910-2020-9
2020-01-11 06:48:00-05:00,3.12,8551910,NOAA,2020-01-11,06:48:00,3.123,NAVD,0,8551910-2020-10
2020-01-12 07:12:00-05:00,2.7,8551910,NOAA,2020-01-12,07:12:00,2.7,NAVD,0,8551910-2020-11
2020-01-13 08:06:00-05:00,2.91,8551910,NOAA,2020-01-13,08:06:00,2.907,NAVD,0,8551910-2020-12
2020-01-14 09:00:00-05:00,3.27,8551910,NOAA,2020-01-14,09:00:00,3.268,NAVD,0,8551910-2020-13
2020-01-15 09:42:00-05:00,3.14,8551910,NOAA,2020-01-15,09:42:00,3.14,NAVD,0,8551910-2020-14
2020-01-16 10:06:00-05:00,1.6,8551910,NOAA,2020-01-16,10:06:00,1.598,NAVD,0,8551910-2020-15
2020-01-17 12:12:00-05:00,1.09,8551910,NOAA,2020-01-17,12:12:00,1.093,NAVD,0,8551910-2020-16
2020-01-18 00:42:00-05:00,2.85,8551910,NOAA,2020-01-18,00:42:00,2.854,NAVD,0,8551910-2020-17
2020-01-19 01:24:00-05:00,3.11,8551910,NOAA,2020-01-19,01:24:00,3.11,NAVD,0,8551910-2020-18
2020-01-20 02:48:00-05:00,1.26,8551910,NOAA,2020-01-20,02:48:00,1.26,NAVD,0,8551910-2020-19
2020-01-21 03:36:00-05:00,2.51,8551910,NOAA,2020-01-21,03:36:00,2.51,NAVD,0,8551910-2020-20
2020-01-22 04:18:00-05:00,2.84,8551910,NOAA,2020-01-22,04:18:00,2.841,NAVD,0,8551910-2020-21
2020-01-23 05:06:00-05:00,2.81,8551910,NOAA,2020-01-23,05:06:00,2.808,NAVD,0,8551910-2020-22
2020-01-24 06:06:00-05:00,2.92,8551910,NOAA,2020-01-24,06:06:00,2.923,NAVD,0,8551910-2020-23
2020-01-25 06:48:00-05:00,4.33,8551910,NOAA,2020-01-25,06:48:00,4.331,NAVD,0,8551910-2020-24
2020-01-26 07:12:00-05:00,3.58,8551910,NOAA,2020-01-26,07:12:00,3.576,NAVD,0,8551910-2020-25
2020-01-27 07:48:00-05:00,2.97,8551910,NOAA,2020-01-27,07:48:00,2.969,NAVD,0,8551910-2020-26
2020-01-28 08:24:00-05:00,2.33,8551910,NOAA,2020-01-28,08:24:00,2.329,NAVD,0,8551910-2020-27
2020-01-29 09:12:00-05:00,2.59,8551910,NOAA,2020-01-29,09:12:00,2.589,NAVD,0,8551910-2020-28
2020-01-30 09:42:00-05:00,2.87,8551910,NOAA,2020-01-30,09:42:00,2.874,NAVD,0,8551910-2020-29
2020-01-30 22:06:00-05:00,2.62,8551910,NOAA,2020-01-30,22:06:00,2.618,NAVD,0,8551910-2020-30
2020-01-31 22:54:00-05:00,2.66,8551910,NOAA,2020-01-31,22:54:00,2.664,NAVD,0,8551910-2020-31
2020-02-01 23:30:00-05:00,2.92,8551910,NOAA,2020-02-01,23:30:00,2.92,NAVD,0,8551910-2020-32
2020-02-03 00:24:00-05:00,2.92,8551910,NOAA,2020-02-03,00:24:00,2.917,NAVD,0,8551910-2020-33
2020-02-04 01:36:00-05:00,3.02,8551910,NOAA,2020-02-04,01:36:00,3.018,NAVD,0,8551910-2020-34
2020-02-05 02:24:00-05:00,2.9,8551910,NOAA,2020-02-05,02:24:00,2.904,NAVD,0,8551910-2020-35
2020-02-06 03:24:00-05:00,3.47,8551910,NOAA,2020-02-06,03:24:00,3.468,NAVD,0,8551910-2020-36
2020-02-07 04:54:00-05:00,4.49,8551910,NOAA,2020-02-07,04:54:00,4.491,NAVD,0,8551910-2020-37
2020-02-08 05:42:00-05:00,1.7,8551910,NOAA,2020-02-08,05:42:00,1.696,NAVD,0,8551910-2020-38
2020-02-09 06:30:00-05:00,2.62,8551910,NOAA,2020-02-09,06:30:00,2.621,NAVD,0,8551910-2020-39
2020-02-10 07:06:00-05:00,3.35,8551910,NOAA,2020-02-10,07:06:00,3.353,NAVD,0,8551910-2020-40
2020-02-11 07:54:00-05:00,3.26,8551910,NOAA,2020-02-11,07:54:00,3.258,NAVD,0,8551910-2020-41
2020-02-12 08:42:00-05:00,3.02,8551910,NOAA,2020-02-12,08:42:00,3.022,NAVD,0,8551910-2020-42
2020-02-13 09:30:00-05:00,3.25,8551910,NOAA,2020-02-13,09:30:00,3.245,NAVD,0,8551910-2020-43
2020-02-13 22:00:00-05:00,2.23,8551910,NOAA,2020-02-13,22:00:00,2.228,NAVD,0,8551910-2020-44
2020-02-14 23:06:00-05:00,2.08,8551910,NOAA,2020-02-14,23:06:00,2.077,NAVD,0,8551910-2020-45
2020-02-15 23:54:00-05:00,2.74,8551910,NOAA,2020-02-15,23:54:00,2.743,NAVD,0,8551910-2020-46
2020-02-17 01:06:00-05:00,2.35,8551910,NOAA,2020-02-17,01:06:00,2.349,NAVD,0,8551910-2020-47
2020-02-18 02:18:00-05:00,2.98,8551910,NOAA,2020-02-18,02:18:00,2.982,NAVD,0,8551910-2020-48
2020-02-19 02:54:00-05:00,2.73,8551910,NOAA,2020-02-19,02:54:00,2.726,NAVD,0,8551910-2020-49
2020-02-20 04:12:00-05:00,2.09,8551910,NOAA,2020-02-20,04:12:00,2.09,NAVD,0,8551910-2020-50
2020-02-21 05:12:00-05:00,1.72,8551910,NOAA,2020-02-21,05:12:00,1.716,NAVD,0,8551910-2020-51
2020-02-22 05:36:00-05:00,2.6,8551910,NOAA,2020-02-22,05:36:00,2.605,NAVD,0,8551910-2020-52
2020-02-23 06:36:00-05:00,2.33,8551910,NOAA,2020-02-23,06:36:00,2.333,NAVD,0,8551910-2020-53
2020-02-24 07:00:00-05:00,2.85,8551910,NOAA,2020-02-24,07:00:00,2.854,NAVD,0,8551910-2020-54
2020-02-25 07:30:00-05:00,3.2,8551910,NOAA,2020-02-25,07:30:00,3.196,NAVD,0,8551910-2020-55
2020-02-26 08:00:00-05:00,3.21,8551910,NOAA,2020-02-26,08:00:00,3.215,NAVD,0,8551910-2020-56
2020-02-26 20:24:00-05:00,3.45,8551910,NOAA,2020-02-26,20:24:00,3.451,NAVD,0,8551910-2020-57
2020-02-28 09:12:00-05:00,1.15,8551910,NOAA,2020-02-28,09:12:00,1.145,NAVD,0,8551910-2020-58
2020-02-28 21:24:00-05:00,1.29,8551910,NOAA,2020-02-28,21:24:00,1.289,NAVD,0,8551910-2020-59
