Date Time,Water Level,SiteID,Source,Date,Time,Measured Water Level,VDatum,Offset,Identifier
2022-01-01 04:54:00-05:00,4.399,8551762,NOAA,2022-01-01,04:54:00,4.439,MSL,-0.04,8551762-2022-0
2022-01-02 06:00:00-05:00,4.704,8551762,NOAA,2022-01-02,06:00:00,4.744,MSL,-0.04,8551762-2022-1
2022-01-03 06:54:00-05:00,4.35,8551762,NOAA,2022-01-03,06:54:00,4.39,MSL,-0.04,8551762-2022-2
2022-01-04 07:48:00-05:00,4.34,8551762,NOAA,2022-01-04,07:48:00,4.38,MSL,-0.04,8551762-2022-3
2022-01-05 08:18:00-05:00,4.173,8551762,NOAA,2022-01-05,08:18:00,4.213,MSL,-0.04,8551762-2022-4
2022-01-06 09:06:00-05:00,3.047,8551762,NOAA,2022-01-06,09:06:00,3.087,MSL,-0.04,8551762-2022-5
2022-01-06 22:00:00-05:00,2.693,8551762,NOAA,2022-01-06,22:00:00,2.733,MSL,-0.04,8551762-2022-6
2022-01-08 11:06:00-05:00,2.388,8551762,NOAA,2022-01-08,11:06:00,2.428,MSL,-0.04,8551762-2022-7
2022-01-08 23:24:00-05:00,2.28,8551762,NOAA,2022-01-08,23:24:00,2.32,MSL,-0.04,8551762-2022-8
2022-01-10 12:48:00-05:00,1.0,8551762,NOAA,2022-01-10,12:48:00,1.04,MSL,-0.04,8551762-2022-9
2022-01-11 13:54:00-05:00,1.472,8551762,NOAA,2022-01-11,13:54:00,1.512,MSL,-0.04,8551762-2022-10
2022-01-12 02:06:00-05:00,3.152,8551762,NOAA,2022-01-12,02:06:00,3.192,MSL,-0.04,8551762-2022-11
2022-01-13 03:06:00-05:00,2.437,8551762,NOAA,2022-01-13,03:06:00,2.477,MSL,-0.04,8551762-2022-12
2022-01-14 03:48:00-05:00,3.372,8551762,NOAA,2022-01-14,03:48:00,3.412,MSL,-0.04,8551762-2022-13
2022-01-15 05:00:00-05:00,2.588,8551762,NOAA,2022-01-15,05:00:00,2.628,MSL,-0.04,8551762-2022-14
2022-01-16 05:36:00-05:00,3.254,8551762,NOAA,2022-01-16,05:36:00,3.294,MSL,-0.04,8551762-2022-15
2022-01-17 05:42:00-05:00,4.1,8551762,NOAA,2022-01-17,05:42:00,4.14,MSL,-0.04,8551762-2022-16
2022-01-18 07:06:00-05:00,1.814,8551762,NOAA,2022-01-18,07:06:00,1.854,MSL,-0.04,8551762-2022-17
2022-01-19 07:24:00-05:00,2.634,8551762,NOAA,2022-01-19,07:24:00,2.674,MSL,-0.04,8551762-2022-18
2022-01-20 07:54:00-05:00,2.276,8551762,NOAA,2022-01-20,07:54:00,2.316,MSL,-0.04,8551762-2022-19
2022-01-21 08:42:00-05:00,2.722,8551762,NOAA,2022-01-21,08:42:00,2.762,MSL,-0.04,8551762-2022-20
2022-01-22 09:18:00-05:00,2.916,8551762,NOAA,2022-01-22,09:18:00,2.956,MSL,-0.04,8551762-2022-21
2022-01-23 10:00:00-05:00,3.047,8551762,NOAA,2022-01-23,10:00:00,3.087,MSL,-0.04,8551762-2022-22
2022-01-24 10:54:00-05:00,2.811,8551762,NOAA,2022-01-24,10:54:00,2.851,MSL,-0.04,8551762-2022-23
2022-01-24 23:06:00-05:00,2.916,8551762,NOAA,2022-01-24,23:06:00,2.956,MSL,-0.04,8551762-2022-24
2022-01-26 00:18:00-05:00,1.889,8551762,NOAA,2022-01-26,00:18:00,1.929,MSL,-0.04,8551762-2022-25
2022-01-27 01:36:00-05:00,2.795,8551762,NOAA,2022-01-27,01:36:00,2.835,MSL,-0.04,8551762-2022-26
2022-01-28 02:30:00-05:00,3.051,8551762,NOAA,2022-01-28,02:30:00,3.091,MSL,-0.04,8551762-2022-27
2022-01-29 03:24:00-05:00,2.46,8551762,NOAA,2022-01-29,03:24:00,2.5,MSL,-0.04,8551762-2022-28
2022-01-30 04:54:00-05:00,3.346,8551762,NOAA,2022-01-30,04:54:00,3.386,MSL,-0.04,8551762-2022-29
2022-01-31 05:42:00-05:00,3.034,8551762,NOAA,2022-01-31,05:42:00,3.074,MSL,-0.04,8551762-2022-30
2022-02-01 06:36:00-05:00,3.385,8551762,NOAA,2022-02-01,06:36:00,3.425,MSL,-0.04,8551762-2022-31
2022-02-02 07:24:00-05:00,3.556,8551762,NOAA,2022-02-02,07:24:00,3.596,MSL,-0.04,8551762-2022-32
2022-02-03 08:12:00-05:00,3.438,8551762,NOAA,2022-02-03,08:12:00,3.478,MSL,-0.04,8551762-2022-33
2022-02-03 20:36:00-05:00,2.9779999999999998,8551762,NOAA,2022-02-03,20:36:00,3.018,MSL,-0.04,8551762-2022-34
2022-02-04 21:18:00-05:00,1.7409999999999999,8551762,NOAA,2022-02-04,21:18:00,1.781,MSL,-0.04,8551762-2022-35
2022-02-06 10:18:00-05:00,2.614,8551762,NOAA,2022-02-06,10:18:00,2.654,MSL,-0.04,8551762-2022-36
2022-02-06 22:36:00-05:00,2.647,8551762,NOAA,2022-02-06,22:36:00,2.687,MSL,-0.04,8551762-2022-37
2022-02-07 23:24:00-05:00,2.932,8551762,NOAA,2022-02-07,23:24:00,2.972,MSL,-0.04,8551762-2022-38
2022-02-09 00:12:00-05:00,2.243,8551762,NOAA,2022-02-09,00:12:00,2.283,MSL,-0.04,8551762-2022-39
2022-02-10 01:18:00-05:00,2.427,8551762,NOAA,2022-02-10,01:18:00,2.467,MSL,-0.04,8551762-2022-40
2022-02-11 02:18:00-05:00,2.693,8551762,NOAA,2022-02-11,02:18:00,2.733,MSL,-0.04,8551762-2022-41
2022-02-12 03:00:00-05:00,2.811,8551762,NOAA,2022-02-12,03:00:00,2.851,MSL,-0.04,8551762-2022-42
2022-02-13 04:06:00-05:00,2.453,8551762,NOAA,2022-02-13,04:06:00,2.493,MSL,-0.04,8551762-2022-43
2022-02-14 04:48:00-05:00,2.667,8551762,NOAA,2022-02-14,04:48:00,2.707,MSL,-0.04,8551762-2022-44
2022-02-15 05:48:00-05:00,2.217,8551762,NOAA,2022-02-15,05:48:00,2.257,MSL,-0.04,8551762-2022-45
2022-02-16 06:18:00-05:00,2.729,8551762,NOAA,2022-02-16,06:18:00,2.769,MSL,-0.04,8551762-2022-46
2022-02-17 07:00:00-05:00,2.801,8551762,NOAA,2022-02-17,07:00:00,2.841,MSL,-0.04,8551762-2022-47
2022-02-17 19:24:00-05:00,2.4899999999999998,8551762,NOAA,2022-02-17,19:24:00,2.53,MSL,-0.04,8551762-2022-48
2022-02-19 08:06:00-05:00,2.512,8551762,NOAA,2022-02-19,08:06:00,2.552,MSL,-0.04,8551762-2022-49
2022-02-20 08:42:00-05:00,2.158,8551762,NOAA,2022-02-20,08:42:00,2.198,MSL,-0.04,8551762-2022-50
2022-02-20 21:18:00-05:00,2.391,8551762,NOAA,2022-02-20,21:18:00,2.431,MSL,-0.04,8551762-2022-51
2022-02-21 22:12:00-05:00,2.309,8551762,NOAA,2022-02-21,22:12:00,2.349,MSL,-0.04,8551762-2022-52
2022-02-22 22:48:00-05:00,2.791,8551762,NOAA,2022-02-22,22:48:00,2.831,MSL,-0.04,8551762-2022-53
2022-02-24 00:12:00-05:00,1.827,8551762,NOAA,2022-02-24,00:12:00,1.867,MSL,-0.04,8551762-2022-54
2022-02-25 01:18:00-05:00,3.247,8551762,NOAA,2022-02-25,01:18:00,3.287,MSL,-0.04,8551762-2022-55
2022-02-26 02:36:00-05:00,2.657,8551762,NOAA,2022-02-26,02:36:00,2.697,MSL,-0.04,8551762-2022-56
2022-02-27 03:18:00-05:00,3.28,8551762,NOAA,2022-02-27,03:18:00,3.32,MSL,-0.04,8551762-2022-57
2022-02-28 04:30:00-05:00,2.116,8551762,NOAA,2022-02-28,04:30:00,2.156,MSL,-0.04,8551762-2022-58
2022-03-01 05:30:00-05:00,3.477,8551762,NOAA,2022-03-01,05:30:00,3.517,MSL,-0.04,8551762-2022-59
2022-03-02 06:12:00-05:00,3.52,8551762,NOAA,2022-03-02,06:12:00,3.56,MSL,-0.04,8551762-2022-60
2022-03-03 06:48:00-05:00,2.877,8551762,NOAA,2022-03-03,06:48:00,2.917,MSL,-0.04,8551762-2022-61
2022-03-04 07:48:00-05:00,2.949,8551762,NOAA,2022-03-04,07:48:00,2.989,MSL,-0.04,8551762-2022-62
2022-03-05 08:24:00-05:00,2.847,8551762,NOAA,2022-03-05,08:24:00,2.887,MSL,-0.04,8551762-2022-63
2022-03-05 20:36:00-05:00,2.8729999999999998,8551762,NOAA,2022-03-05,20:36:00,2.913,MSL,-0.04,8551762-2022-64
2022-03-06 21:18:00-05:00,2.335,8551762,NOAA,2022-03-06,21:18:00,2.375,MSL,-0.04,8551762-2022-65
2022-03-07 21:36:00-05:00,1.144,8551762,NOAA,2022-03-07,21:36:00,1.184,MSL,-0.04,8551762-2022-66
2022-03-09 10:48:00-05:00,2.411,8551762,NOAA,2022-03-09,10:48:00,2.451,MSL,-0.04,8551762-2022-67
2022-03-09 23:36:00-05:00,3.005,8551762,NOAA,2022-03-09,23:36:00,3.045,MSL,-0.04,8551762-2022-68
2022-03-11 00:18:00-05:00,3.008,8551762,NOAA,2022-03-11,00:18:00,3.048,MSL,-0.04,8551762-2022-69
2022-03-12 01:24:00-05:00,3.018,8551762,NOAA,2022-03-12,01:24:00,3.058,MSL,-0.04,8551762-2022-70
2022-03-13 16:36:00-04:00,0.46900000000000003,8551762,NOAA,2022-03-13,16:36:00,0.509,MSL,-0.04,8551762-2022-71
2022-03-14 17:12:00-04:00,1.659,8551762,NOAA,2022-03-14,17:12:00,1.699,MSL,-0.04,8551762-2022-72
2022-03-15 05:18:00-04:00,2.713,8551762,NOAA,2022-03-15,05:18:00,2.753,MSL,-0.04,8551762-2022-73
2022-03-16 06:06:00-04:00,3.034,8551762,NOAA,2022-03-16,06:06:00,3.074,MSL,-0.04,8551762-2022-74
2022-03-17 06:48:00-04:00,3.651,8551762,NOAA,2022-03-17,06:48:00,3.691,MSL,-0.04,8551762-2022-75
2022-03-18 07:24:00-04:00,3.425,8551762,NOAA,2022-03-18,07:24:00,3.465,MSL,-0.04,8551762-2022-76
2022-03-19 08:06:00-04:00,3.549,8551762,NOAA,2022-03-19,08:06:00,3.589,MSL,-0.04,8551762-2022-77
2022-03-20 08:36:00-04:00,2.9779999999999998,8551762,NOAA,2022-03-20,08:36:00,3.018,MSL,-0.04,8551762-2022-78
2022-03-21 09:30:00-04:00,2.69,8551762,NOAA,2022-03-21,09:30:00,2.73,MSL,-0.04,8551762-2022-79
2022-03-21 21:54:00-04:00,3.1189999999999998,8551762,NOAA,2022-03-21,21:54:00,3.159,MSL,-0.04,8551762-2022-80
2022-03-22 22:42:00-04:00,3.018,8551762,NOAA,2022-03-22,22:42:00,3.058,MSL,-0.04,8551762-2022-81
2022-03-23 23:36:00-04:00,3.91,8551762,NOAA,2022-03-23,23:36:00,3.95,MSL,-0.04,8551762-2022-82
2022-03-25 00:18:00-04:00,3.677,8551762,NOAA,2022-03-25,00:18:00,3.717,MSL,-0.04,8551762-2022-83
2022-03-26 02:00:00-04:00,3.549,8551762,NOAA,2022-03-26,02:00:00,3.589,MSL,-0.04,8551762-2022-84
2022-03-27 03:06:00-04:00,2.512,8551762,NOAA,2022-03-27,03:06:00,2.552,MSL,-0.04,8551762-2022-85
2022-03-28 04:24:00-04:00,1.932,8551762,NOAA,2022-03-28,04:24:00,1.972,MSL,-0.04,8551762-2022-86
2022-03-29 05:24:00-04:00,2.342,8551762,NOAA,2022-03-29,05:24:00,2.382,MSL,-0.04,8551762-2022-87
2022-03-30 06:06:00-04:00,3.2279999999999998,8551762,NOAA,2022-03-30,06:06:00,3.268,MSL,-0.04,8551762-2022-88
2022-03-31 19:06:00-04:00,3.7399999999999998,8551762,NOAA,2022-03-31,19:06:00,3.78,MSL,-0.04,8551762-2022-89
2022-04-01 19:48:00-04:00,2.332,8551762,NOAA,2022-04-01,19:48:00,2.372,MSL,-0.04,8551762-2022-90
2022-04-02 08:24:00-04:00,2.217,8551762,NOAA,2022-04-02,08:24:00,2.257,MSL,-0.04,8551762-2022-91
2022-04-02 20:24:00-04:00,3.198,8551762,NOAA,2022-04-02,20:24:00,3.238,MSL,-0.04,8551762-2022-92
2022-04-04 09:42:00-04:00,2.673,8551762,NOAA,2022-04-04,09:42:00,2.713,MSL,-0.04,8551762-2022-93
2022-04-04 21:36:00-04:00,3.247,8551762,NOAA,2022-04-04,21:36:00,3.287,MSL,-0.04,8551762-2022-94
2022-04-05 22:18:00-04:00,3.398,8551762,NOAA,2022-04-05,22:18:00,3.438,MSL,-0.04,8551762-2022-95
2022-04-06 22:48:00-04:00,4.15,8551762,NOAA,2022-04-06,22:48:00,4.19,MSL,-0.04,8551762-2022-96
2022-04-07 23:48:00-04:00,3.388,8551762,NOAA,2022-04-07,23:48:00,3.428,MSL,-0.04,8551762-2022-97
2022-04-09 00:18:00-04:00,3.274,8551762,NOAA,2022-04-09,00:18:00,3.314,MSL,-0.04,8551762-2022-98
2022-04-10 01:00:00-04:00,2.122,8551762,NOAA,2022-04-10,01:00:00,2.162,MSL,-0.04,8551762-2022-99
2022-04-11 15:06:00-04:00,2.775,8551762,NOAA,2022-04-11,15:06:00,2.815,MSL,-0.04,8551762-2022-100
2022-04-12 03:30:00-04:00,3.379,8551762,NOAA,2022-04-12,03:30:00,3.419,MSL,-0.04,8551762-2022-101
2022-04-13 17:06:00-04:00,3.434,8551762,NOAA,2022-04-13,17:06:00,3.474,MSL,-0.04,8551762-2022-102
2022-04-14 05:18:00-04:00,3.411,8551762,NOAA,2022-04-14,05:18:00,3.451,MSL,-0.04,8551762-2022-103
2022-04-15 18:30:00-04:00,3.812,8551762,NOAA,2022-04-15,18:30:00,3.852,MSL,-0.04,8551762-2022-104
2022-04-16 19:06:00-04:00,3.352,8551762,NOAA,2022-04-16,19:06:00,3.392,MSL,-0.04,8551762-2022-105
2022-04-17 07:24:00-04:00,2.742,8551762,NOAA,2022-04-17,07:24:00,2.782,MSL,-0.04,8551762-2022-106
2022-04-17 20:12:00-04:00,3.316,8551762,NOAA,2022-04-17,20:12:00,3.356,MSL,-0.04,8551762-2022-107
2022-04-18 20:42:00-04:00,4.602,8551762,NOAA,2022-04-18,20:42:00,4.642,MSL,-0.04,8551762-2022-108
2022-04-19 21:36:00-04:00,3.192,8551762,NOAA,2022-04-19,21:36:00,3.232,MSL,-0.04,8551762-2022-109
2022-04-20 22:24:00-04:00,3.434,8551762,NOAA,2022-04-20,22:24:00,3.474,MSL,-0.04,8551762-2022-110
2022-04-21 23:24:00-04:00,3.398,8551762,NOAA,2022-04-21,23:24:00,3.438,MSL,-0.04,8551762-2022-111
2022-04-23 00:30:00-04:00,3.343,8551762,NOAA,2022-04-23,00:30:00,3.383,MSL,-0.04,8551762-2022-112
2022-04-24 01:42:00-04:00,3.339,8551762,NOAA,2022-04-24,01:42:00,3.379,MSL,-0.04,8551762-2022-113
2022-04-25 02:42:00-04:00,3.7359999999999998,8551762,NOAA,2022-04-25,02:42:00,3.776,MSL,-0.04,8551762-2022-114
2022-04-26 03:42:00-04:00,3.894,8551762,NOAA,2022-04-26,03:42:00,3.934,MSL,-0.04,8551762-2022-115
2022-04-27 17:00:00-04:00,1.814,8551762,NOAA,2022-04-27,17:00:00,1.854,MSL,-0.04,8551762-2022-116
2022-04-28 18:12:00-04:00,2.778,8551762,NOAA,2022-04-28,18:12:00,2.818,MSL,-0.04,8551762-2022-117
2022-04-29 18:36:00-04:00,3.503,8551762,NOAA,2022-04-29,18:36:00,3.543,MSL,-0.04,8551762-2022-118
2022-04-30 19:18:00-04:00,3.887,8551762,NOAA,2022-04-30,19:18:00,3.927,MSL,-0.04,8551762-2022-119
2022-05-01 19:54:00-04:00,3.943,8551762,NOAA,2022-05-01,19:54:00,3.983,MSL,-0.04,8551762-2022-120
2022-05-02 08:12:00-04:00,3.126,8551762,NOAA,2022-05-02,08:12:00,3.166,MSL,-0.04,8551762-2022-121
2022-05-02 20:30:00-04:00,3.9,8551762,NOAA,2022-05-02,20:30:00,3.94,MSL,-0.04,8551762-2022-122
2022-05-03 21:00:00-04:00,4.143,8551762,NOAA,2022-05-03,21:00:00,4.183,MSL,-0.04,8551762-2022-123
2022-05-04 21:36:00-04:00,3.569,8551762,NOAA,2022-05-04,21:36:00,3.609,MSL,-0.04,8551762-2022-124
2022-05-05 22:18:00-04:00,3.572,8551762,NOAA,2022-05-05,22:18:00,3.612,MSL,-0.04,8551762-2022-125
2022-05-06 23:06:00-04:00,4.104,8551762,NOAA,2022-05-06,23:06:00,4.144,MSL,-0.04,8551762-2022-126
2022-05-08 00:12:00-04:00,4.13,8551762,NOAA,2022-05-08,00:12:00,4.17,MSL,-0.04,8551762-2022-127
2022-05-09 01:06:00-04:00,3.92,8551762,NOAA,2022-05-09,01:06:00,3.96,MSL,-0.04,8551762-2022-128
2022-05-10 01:48:00-04:00,4.11,8551762,NOAA,2022-05-10,01:48:00,4.15,MSL,-0.04,8551762-2022-129
2022-05-11 15:42:00-04:00,3.913,8551762,NOAA,2022-05-11,15:42:00,3.953,MSL,-0.04,8551762-2022-130
2022-05-12 03:48:00-04:00,3.7,8551762,NOAA,2022-05-12,03:48:00,3.74,MSL,-0.04,8551762-2022-131
2022-05-13 17:18:00-04:00,3.884,8551762,NOAA,2022-05-13,17:18:00,3.924,MSL,-0.04,8551762-2022-132
2022-05-14 18:00:00-04:00,3.953,8551762,NOAA,2022-05-14,18:00:00,3.993,MSL,-0.04,8551762-2022-133
2022-05-15 18:48:00-04:00,4.406,8551762,NOAA,2022-05-15,18:48:00,4.446,MSL,-0.04,8551762-2022-134
2022-05-16 19:36:00-04:00,4.346,8551762,NOAA,2022-05-16,19:36:00,4.386,MSL,-0.04,8551762-2022-135
2022-05-16 19:36:00-04:00,4.346,8551762,NOAA,2022-05-16,19:36:00,4.386,MSL,-0.04,8551762-2022-136
2022-05-17 08:12:00-04:00,3.283,8551762,NOAA,2022-05-17,08:12:00,3.323,MSL,-0.04,8551762-2022-137
2022-05-17 20:30:00-04:00,4.196,8551762,NOAA,2022-05-17,20:30:00,4.236,MSL,-0.04,8551762-2022-138
2022-05-18 21:18:00-04:00,4.304,8551762,NOAA,2022-05-18,21:18:00,4.344,MSL,-0.04,8551762-2022-139
2022-05-19 22:12:00-04:00,4.448,8551762,NOAA,2022-05-19,22:12:00,4.488,MSL,-0.04,8551762-2022-140
2022-05-20 23:12:00-04:00,4.241,8551762,NOAA,2022-05-20,23:12:00,4.281,MSL,-0.04,8551762-2022-141
2022-05-22 00:12:00-04:00,3.917,8551762,NOAA,2022-05-22,00:12:00,3.957,MSL,-0.04,8551762-2022-142
2022-05-23 01:12:00-04:00,3.142,8551762,NOAA,2022-05-23,01:12:00,3.182,MSL,-0.04,8551762-2022-143
2022-05-24 14:48:00-04:00,3.579,8551762,NOAA,2022-05-24,14:48:00,3.619,MSL,-0.04,8551762-2022-144
2022-05-25 15:48:00-04:00,3.687,8551762,NOAA,2022-05-25,15:48:00,3.727,MSL,-0.04,8551762-2022-145
2022-05-26 16:42:00-04:00,3.631,8551762,NOAA,2022-05-26,16:42:00,3.671,MSL,-0.04,8551762-2022-146
2022-05-27 17:30:00-04:00,3.966,8551762,NOAA,2022-05-27,17:30:00,4.006,MSL,-0.04,8551762-2022-147
2022-05-28 18:12:00-04:00,3.71,8551762,NOAA,2022-05-28,18:12:00,3.75,MSL,-0.04,8551762-2022-148
2022-05-29 18:48:00-04:00,4.035,8551762,NOAA,2022-05-29,18:48:00,4.075,MSL,-0.04,8551762-2022-149
2022-05-30 19:18:00-04:00,3.835,8551762,NOAA,2022-05-30,19:18:00,3.875,MSL,-0.04,8551762-2022-150
2022-05-31 08:00:00-04:00,2.519,8551762,NOAA,2022-05-31,08:00:00,2.559,MSL,-0.04,8551762-2022-151
2022-05-31 20:06:00-04:00,3.785,8551762,NOAA,2022-05-31,20:06:00,3.825,MSL,-0.04,8551762-2022-152
2022-06-01 20:30:00-04:00,4.32,8551762,NOAA,2022-06-01,20:30:00,4.36,MSL,-0.04,8551762-2022-153
2022-06-02 21:00:00-04:00,3.907,8551762,NOAA,2022-06-02,21:00:00,3.947,MSL,-0.04,8551762-2022-154
2022-06-03 21:48:00-04:00,4.064,8551762,NOAA,2022-06-03,21:48:00,4.104,MSL,-0.04,8551762-2022-155
2022-06-04 22:30:00-04:00,3.759,8551762,NOAA,2022-06-04,22:30:00,3.799,MSL,-0.04,8551762-2022-156
2022-06-05 23:18:00-04:00,3.559,8551762,NOAA,2022-06-05,23:18:00,3.599,MSL,-0.04,8551762-2022-157
2022-06-07 00:12:00-04:00,3.526,8551762,NOAA,2022-06-07,00:12:00,3.566,MSL,-0.04,8551762-2022-158
2022-06-08 01:06:00-04:00,3.231,8551762,NOAA,2022-06-08,01:06:00,3.271,MSL,-0.04,8551762-2022-159
2022-06-09 02:00:00-04:00,3.684,8551762,NOAA,2022-06-09,02:00:00,3.724,MSL,-0.04,8551762-2022-160
2022-06-10 15:48:00-04:00,3.887,8551762,NOAA,2022-06-10,15:48:00,3.927,MSL,-0.04,8551762-2022-161
2022-06-11 16:42:00-04:00,4.005,8551762,NOAA,2022-06-11,16:42:00,4.045,MSL,-0.04,8551762-2022-162
