Date Time,Water Level,SiteID,Source,Date,Time,Measured Water Level,VDatum,Offset,Identifier
2022-01-01 06:00:00-05:00,4.579000000000001,8540433,NOAA,2022-01-01,06:00:00,4.429,MSL,0.15,8540433-2022-0
2022-01-02 07:00:00-05:00,4.930000000000001,8540433,NOAA,2022-01-02,07:00:00,4.78,MSL,0.15,8540433-2022-1
2022-01-03 08:00:00-05:00,4.349,8540433,NOAA,2022-01-03,08:00:00,4.199,MSL,0.15,8540433-2022-2
2022-01-04 08:54:00-05:00,4.569,8540433,NOAA,2022-01-04,08:54:00,4.419,MSL,0.15,8540433-2022-3
2022-01-05 09:24:00-05:00,4.382000000000001,8540433,NOAA,2022-01-05,09:24:00,4.232,MSL,0.15,8540433-2022-4
2022-01-05 21:48:00-05:00,3.29,8540433,NOAA,2022-01-05,21:48:00,3.14,MSL,0.15,8540433-2022-5
2022-01-06 23:06:00-05:00,2.945,8540433,NOAA,2022-01-06,23:06:00,2.795,MSL,0.15,8540433-2022-6
2022-01-08 12:12:00-05:00,2.634,8540433,NOAA,2022-01-08,12:12:00,2.484,MSL,0.15,8540433-2022-7
2022-01-09 00:24:00-05:00,2.6799999999999997,8540433,NOAA,2022-01-09,00:24:00,2.53,MSL,0.15,8540433-2022-8
2022-01-10 14:00:00-05:00,1.384,8540433,NOAA,2022-01-10,14:00:00,1.234,MSL,0.15,8540433-2022-9
2022-01-11 14:54:00-05:00,1.859,8540433,NOAA,2022-01-11,14:54:00,1.709,MSL,0.15,8540433-2022-10
2022-01-12 03:12:00-05:00,3.572,8540433,NOAA,2022-01-12,03:12:00,3.422,MSL,0.15,8540433-2022-11
2022-01-13 04:06:00-05:00,2.791,8540433,NOAA,2022-01-13,04:06:00,2.641,MSL,0.15,8540433-2022-12
2022-01-14 04:42:00-05:00,3.572,8540433,NOAA,2022-01-14,04:42:00,3.422,MSL,0.15,8540433-2022-13
2022-01-15 06:06:00-05:00,2.912,8540433,NOAA,2022-01-15,06:06:00,2.762,MSL,0.15,8540433-2022-14
2022-01-16 06:36:00-05:00,3.6109999999999998,8540433,NOAA,2022-01-16,06:36:00,3.461,MSL,0.15,8540433-2022-15
2022-01-17 06:42:00-05:00,4.619000000000001,8540433,NOAA,2022-01-17,06:42:00,4.469,MSL,0.15,8540433-2022-16
2022-01-18 08:06:00-05:00,2.187,8540433,NOAA,2022-01-18,08:06:00,2.037,MSL,0.15,8540433-2022-17
2022-01-19 08:24:00-05:00,2.952,8540433,NOAA,2022-01-19,08:24:00,2.802,MSL,0.15,8540433-2022-18
2022-01-20 08:54:00-05:00,2.483,8540433,NOAA,2022-01-20,08:54:00,2.333,MSL,0.15,8540433-2022-19
2022-01-21 09:48:00-05:00,3.004,8540433,NOAA,2022-01-21,09:48:00,2.854,MSL,0.15,8540433-2022-20
2022-01-22 10:18:00-05:00,3.241,8540433,NOAA,2022-01-22,10:18:00,3.091,MSL,0.15,8540433-2022-21
2022-01-23 11:06:00-05:00,3.286,8540433,NOAA,2022-01-23,11:06:00,3.136,MSL,0.15,8540433-2022-22
2022-01-24 11:54:00-05:00,3.0829999999999997,8540433,NOAA,2022-01-24,11:54:00,2.933,MSL,0.15,8540433-2022-23
2022-01-25 00:06:00-05:00,3.237,8540433,NOAA,2022-01-25,00:06:00,3.087,MSL,0.15,8540433-2022-24
2022-01-26 01:30:00-05:00,2.21,8540433,NOAA,2022-01-26,01:30:00,2.06,MSL,0.15,8540433-2022-25
2022-01-27 02:42:00-05:00,3.142,8540433,NOAA,2022-01-27,02:42:00,2.992,MSL,0.15,8540433-2022-26
2022-01-28 03:36:00-05:00,3.3489999999999998,8540433,NOAA,2022-01-28,03:36:00,3.199,MSL,0.15,8540433-2022-27
2022-01-29 04:30:00-05:00,2.663,8540433,NOAA,2022-01-29,04:30:00,2.513,MSL,0.15,8540433-2022-28
2022-01-30 06:00:00-05:00,3.7199999999999998,8540433,NOAA,2022-01-30,06:00:00,3.57,MSL,0.15,8540433-2022-29
2022-01-31 06:42:00-05:00,3.241,8540433,NOAA,2022-01-31,06:42:00,3.091,MSL,0.15,8540433-2022-30
2022-02-01 07:42:00-05:00,3.5749999999999997,8540433,NOAA,2022-02-01,07:42:00,3.425,MSL,0.15,8540433-2022-31
2022-02-02 08:30:00-05:00,3.802,8540433,NOAA,2022-02-02,08:30:00,3.652,MSL,0.15,8540433-2022-32
