Date Time,Water Level,SiteID,Source,Date,Time,Measured Water Level,VDatum,Offset,Identifier
2022-01-01 01:36:00-05:00,1.877,8570283,NOAA,2022-01-01,01:36:00,1.877,NAVD,0,8570283-2022-0
2022-01-02 02:24:00-05:00,2.005,8570283,NOAA,2022-01-02,02:24:00,2.005,NAVD,0,8570283-2022-1
2022-01-03 03:36:00-05:00,2.5,8570283,NOAA,2022-01-03,03:36:00,2.5,NAVD,0,8570283-2022-2
2022-01-04 04:00:00-05:00,2.139,8570283,NOAA,2022-01-04,04:00:00,2.139,NAVD,0,8570283-2022-3
2022-01-05 04:54:00-05:00,1.686,8570283,NOAA,2022-01-05,04:54:00,1.686,NAVD,0,8570283-2022-4
2022-01-06 05:30:00-05:00,1.181,8570283,NOAA,2022-01-06,05:30:00,1.181,NAVD,0,8570283-2022-5
2022-01-07 06:30:00-05:00,1.201,8570283,NOAA,2022-01-07,06:30:00,1.201,NAVD,0,8570283-2022-6
2022-01-08 07:12:00-05:00,0.443,8570283,NOAA,2022-01-08,07:12:00,0.443,NAVD,0,8570283-2022-7
2022-01-09 08:06:00-05:00,-0.092,8570283,NOAA,2022-01-09,08:06:00,-0.092,NAVD,0,8570283-2022-8
2022-01-10 08:42:00-05:00,-0.164,8570283,NOAA,2022-01-10,08:42:00,-0.164,NAVD,0,8570283-2022-9
2022-01-10 22:12:00-05:00,-0.276,8570283,NOAA,2022-01-10,22:12:00,-0.276,NAVD,0,8570283-2022-10
2022-01-11 22:48:00-05:00,0.4,8570283,NOAA,2022-01-11,22:48:00,0.4,NAVD,0,8570283-2022-11
2022-01-12 23:54:00-05:00,0.174,8570283,NOAA,2022-01-12,23:54:00,0.174,NAVD,0,8570283-2022-12
2022-01-14 01:00:00-05:00,1.332,8570283,NOAA,2022-01-14,01:00:00,1.332,NAVD,0,8570283-2022-13
2022-01-15 01:36:00-05:00,1.578,8570283,NOAA,2022-01-15,01:36:00,1.578,NAVD,0,8570283-2022-14
2022-01-16 02:24:00-05:00,1.427,8570283,NOAA,2022-01-16,02:24:00,1.427,NAVD,0,8570283-2022-15
2022-01-17 02:18:00-05:00,1.906,8570283,NOAA,2022-01-17,02:18:00,1.906,NAVD,0,8570283-2022-16
2022-01-18 03:06:00-05:00,0.377,8570283,NOAA,2022-01-18,03:06:00,0.377,NAVD,0,8570283-2022-17
2022-01-19 03:42:00-05:00,0.125,8570283,NOAA,2022-01-19,03:42:00,0.125,NAVD,0,8570283-2022-18
2022-01-20 04:24:00-05:00,0.295,8570283,NOAA,2022-01-20,04:24:00,0.295,NAVD,0,8570283-2022-19
2022-01-21 05:06:00-05:00,1.093,8570283,NOAA,2022-01-21,05:06:00,1.093,NAVD,0,8570283-2022-20
2022-01-22 05:30:00-05:00,1.237,8570283,NOAA,2022-01-22,05:30:00,1.237,NAVD,0,8570283-2022-21
2022-01-23 06:24:00-05:00,0.919,8570283,NOAA,2022-01-23,06:24:00,0.919,NAVD,0,8570283-2022-22
2022-01-24 07:24:00-05:00,0.781,8570283,NOAA,2022-01-24,07:24:00,0.781,NAVD,0,8570283-2022-23
2022-01-24 20:06:00-05:00,0.817,8570283,NOAA,2022-01-24,20:06:00,0.817,NAVD,0,8570283-2022-24
2022-01-25 21:24:00-05:00,0.935,8570283,NOAA,2022-01-25,21:24:00,0.935,NAVD,0,8570283-2022-25
2022-01-26 22:18:00-05:00,0.735,8570283,NOAA,2022-01-26,22:18:00,0.735,NAVD,0,8570283-2022-26
2022-01-27 23:12:00-05:00,0.85,8570283,NOAA,2022-01-27,23:12:00,0.85,NAVD,0,8570283-2022-27
2022-01-29 00:42:00-05:00,2.031,8570283,NOAA,2022-01-29,00:42:00,2.031,NAVD,0,8570283-2022-28
2022-01-30 01:36:00-05:00,1.781,8570283,NOAA,2022-01-30,01:36:00,1.781,NAVD,0,8570283-2022-29
2022-01-31 02:12:00-05:00,0.896,8570283,NOAA,2022-01-31,02:12:00,0.896,NAVD,0,8570283-2022-30
2022-02-01 03:06:00-05:00,1.22,8570283,NOAA,2022-02-01,03:06:00,1.22,NAVD,0,8570283-2022-31
2022-02-02 03:54:00-05:00,1.401,8570283,NOAA,2022-02-02,03:54:00,1.401,NAVD,0,8570283-2022-32
2022-02-03 04:24:00-05:00,1.152,8570283,NOAA,2022-02-03,04:24:00,1.152,NAVD,0,8570283-2022-33
2022-02-04 05:06:00-05:00,0.751,8570283,NOAA,2022-02-04,05:06:00,0.751,NAVD,0,8570283-2022-34
2022-02-05 05:54:00-05:00,0.673,8570283,NOAA,2022-02-05,05:54:00,0.673,NAVD,0,8570283-2022-35
2022-02-06 06:36:00-05:00,0.427,8570283,NOAA,2022-02-06,06:36:00,0.427,NAVD,0,8570283-2022-36
2022-02-06 19:06:00-05:00,0.633,8570283,NOAA,2022-02-06,19:06:00,0.633,NAVD,0,8570283-2022-37
2022-02-07 20:36:00-05:00,0.988,8570283,NOAA,2022-02-07,20:36:00,0.988,NAVD,0,8570283-2022-38
2022-02-08 20:36:00-05:00,0.299,8570283,NOAA,2022-02-08,20:36:00,0.299,NAVD,0,8570283-2022-39
2022-02-09 22:24:00-05:00,0.305,8570283,NOAA,2022-02-09,22:24:00,0.305,NAVD,0,8570283-2022-40
2022-02-10 23:12:00-05:00,0.443,8570283,NOAA,2022-02-10,23:12:00,0.443,NAVD,0,8570283-2022-41
2022-02-11 23:54:00-05:00,0.41,8570283,NOAA,2022-02-11,23:54:00,0.41,NAVD,0,8570283-2022-42
2022-02-13 00:36:00-05:00,0.571,8570283,NOAA,2022-02-13,00:36:00,0.571,NAVD,0,8570283-2022-43
2022-02-14 01:54:00-05:00,0.961,8570283,NOAA,2022-02-14,01:54:00,0.961,NAVD,0,8570283-2022-44
2022-02-15 02:06:00-05:00,0.394,8570283,NOAA,2022-02-15,02:06:00,0.394,NAVD,0,8570283-2022-45
2022-02-16 02:42:00-05:00,0.39,8570283,NOAA,2022-02-16,02:42:00,0.39,NAVD,0,8570283-2022-46
2022-02-17 03:18:00-05:00,0.427,8570283,NOAA,2022-02-17,03:18:00,0.427,NAVD,0,8570283-2022-47
2022-02-18 04:00:00-05:00,0.266,8570283,NOAA,2022-02-18,04:00:00,0.266,NAVD,0,8570283-2022-48
2022-02-19 04:24:00-05:00,0.148,8570283,NOAA,2022-02-19,04:24:00,0.148,NAVD,0,8570283-2022-49
2022-02-20 04:54:00-05:00,0.075,8570283,NOAA,2022-02-20,04:54:00,0.075,NAVD,0,8570283-2022-50
2022-02-21 18:24:00-05:00,0.072,8570283,NOAA,2022-02-21,18:24:00,0.072,NAVD,0,8570283-2022-51
2022-02-22 06:36:00-05:00,-0.046,8570283,NOAA,2022-02-22,06:36:00,-0.046,NAVD,0,8570283-2022-52
2022-02-22 19:12:00-05:00,0.331,8570283,NOAA,2022-02-22,19:12:00,0.331,NAVD,0,8570283-2022-53
2022-02-23 20:36:00-05:00,0.266,8570283,NOAA,2022-02-23,20:36:00,0.266,NAVD,0,8570283-2022-54
2022-02-24 21:42:00-05:00,0.761,8570283,NOAA,2022-02-24,21:42:00,0.761,NAVD,0,8570283-2022-55
2022-02-25 22:42:00-05:00,0.784,8570283,NOAA,2022-02-25,22:42:00,0.784,NAVD,0,8570283-2022-56
2022-02-27 00:00:00-05:00,0.899,8570283,NOAA,2022-02-27,00:00:00,0.899,NAVD,0,8570283-2022-57
2022-02-28 01:06:00-05:00,0.482,8570283,NOAA,2022-02-28,01:06:00,0.482,NAVD,0,8570283-2022-58
2022-03-01 02:00:00-05:00,0.942,8570283,NOAA,2022-03-01,02:00:00,0.942,NAVD,0,8570283-2022-59
2022-03-02 02:48:00-05:00,1.109,8570283,NOAA,2022-03-02,02:48:00,1.109,NAVD,0,8570283-2022-60
2022-03-03 03:12:00-05:00,0.968,8570283,NOAA,2022-03-03,03:12:00,0.968,NAVD,0,8570283-2022-61
2022-03-04 03:48:00-05:00,0.833,8570283,NOAA,2022-03-04,03:48:00,0.833,NAVD,0,8570283-2022-62
2022-03-05 16:48:00-05:00,0.636,8570283,NOAA,2022-03-05,16:48:00,0.636,NAVD,0,8570283-2022-63
2022-03-06 04:54:00-05:00,0.318,8570283,NOAA,2022-03-06,04:54:00,0.318,NAVD,0,8570283-2022-64
2022-03-07 17:54:00-05:00,-0.095,8570283,NOAA,2022-03-07,17:54:00,-0.095,NAVD,0,8570283-2022-65
2022-03-08 18:42:00-05:00,0.069,8570283,NOAA,2022-03-08,18:42:00,0.069,NAVD,0,8570283-2022-66
2022-03-09 07:18:00-05:00,0.299,8570283,NOAA,2022-03-09,07:18:00,0.299,NAVD,0,8570283-2022-67
2022-03-09 20:18:00-05:00,0.817,8570283,NOAA,2022-03-09,20:18:00,0.817,NAVD,0,8570283-2022-68
2022-03-10 21:48:00-05:00,0.758,8570283,NOAA,2022-03-10,21:48:00,0.758,NAVD,0,8570283-2022-69
2022-03-11 23:06:00-05:00,0.823,8570283,NOAA,2022-03-11,23:06:00,0.823,NAVD,0,8570283-2022-70
2022-03-13 12:48:00-04:00,-1.394,8570283,NOAA,2022-03-13,12:48:00,-1.394,NAVD,0,8570283-2022-71
2022-03-14 00:48:00-04:00,-0.883,8570283,NOAA,2022-03-14,00:48:00,-0.883,NAVD,0,8570283-2022-72
2022-03-15 02:06:00-04:00,-0.016,8570283,NOAA,2022-03-15,02:06:00,-0.016,NAVD,0,8570283-2022-73
2022-03-16 02:42:00-04:00,0.492,8570283,NOAA,2022-03-16,02:42:00,0.492,NAVD,0,8570283-2022-74
2022-03-17 03:30:00-04:00,1.03,8570283,NOAA,2022-03-17,03:30:00,1.03,NAVD,0,8570283-2022-75
2022-03-18 04:00:00-04:00,0.994,8570283,NOAA,2022-03-18,04:00:00,0.994,NAVD,0,8570283-2022-76
2022-03-19 16:48:00-04:00,1.109,8570283,NOAA,2022-03-19,16:48:00,1.109,NAVD,0,8570283-2022-77
2022-03-20 17:24:00-04:00,1.024,8570283,NOAA,2022-03-20,17:24:00,1.024,NAVD,0,8570283-2022-78
