Date Time,Water Level
2016-01-01 11:00:00-05:00,2.178
2016-01-02 11:54:00-05:00,2.093
2016-01-03 00:24:00-05:00,2.484
2016-01-04 01:36:00-05:00,2.119
2016-01-05 15:00:00-05:00,2.595
2016-01-06 03:06:00-05:00,3.222
2016-01-07 03:54:00-05:00,2.667
2016-01-08 05:06:00-05:00,3.035
2016-01-09 05:42:00-05:00,3.98
2016-01-10 06:24:00-05:00,4.836
2016-01-11 07:06:00-05:00,2.552
2016-01-12 08:12:00-05:00,3.593
2016-01-13 08:54:00-05:00,1.427
2016-01-14 09:36:00-05:00,2.438
2016-01-15 10:30:00-05:00,2.697
2016-01-16 11:12:00-05:00,3.087
2016-01-16 23:42:00-05:00,2.966
2016-01-18 00:12:00-05:00,2.92
2016-01-19 02:00:00-05:00,0.692
2016-01-20 03:30:00-05:00,0.653
2016-01-21 04:00:00-05:00,2.247
2016-01-22 04:54:00-05:00,2.513
2016-01-23 06:18:00-05:00,4.764
2016-01-24 06:48:00-05:00,3.688
2016-01-25 07:00:00-05:00,4.108
2016-01-25 19:12:00-05:00,3.238
2016-01-26 20:12:00-05:00,2.277
2016-01-28 09:00:00-05:00,2.841
2016-01-28 21:24:00-05:00,3.018
2016-01-30 10:18:00-05:00,2.477
2016-01-30 22:54:00-05:00,2.336
2016-01-31 23:36:00-05:00,2.208
2016-02-02 00:30:00-05:00,2.198
2016-02-03 01:36:00-05:00,2.887
2016-02-04 02:12:00-05:00,2.949
2016-02-05 03:30:00-05:00,2.27
2016-02-06 04:12:00-05:00,2.989
2016-02-07 05:12:00-05:00,2.825
2016-02-08 18:24:00-05:00,4.623
2016-02-09 06:48:00-05:00,5.023
2016-02-10 07:12:00-05:00,3.632
2016-02-11 08:12:00-05:00,1.926
2016-02-12 09:12:00-05:00,2.333
2016-02-12 21:30:00-05:00,2.756
2016-02-13 22:36:00-05:00,0.643
2016-02-14 23:30:00-05:00,2.644
2016-02-16 00:42:00-05:00,2.927
2016-02-17 02:18:00-05:00,2.487
2016-02-18 02:30:00-05:00,2.257
2016-02-19 03:54:00-05:00,2.749
2016-02-20 04:24:00-05:00,3.107
2016-02-21 05:30:00-05:00,2.625
2016-02-22 06:12:00-05:00,3.123
2016-02-23 06:48:00-05:00,3.205
2016-02-24 07:30:00-05:00,3.871
2016-02-24 19:30:00-05:00,4.633
2016-02-25 19:48:00-05:00,1.847
2016-02-27 09:12:00-05:00,2.142
2016-02-27 21:24:00-05:00,2.605
2016-02-28 22:12:00-05:00,2.31
2016-02-29 23:00:00-05:00,2.211
2016-03-01 23:18:00-05:00,3.238
2016-03-03 13:12:00-05:00,1.969
2016-03-04 01:30:00-05:00,2.949
2016-03-05 15:30:00-05:00,3.291
2016-03-06 03:42:00-05:00,3.806
2016-03-07 04:42:00-05:00,3.353
2016-03-08 17:48:00-05:00,3.176
2016-03-09 06:24:00-05:00,3.281
2016-03-10 07:12:00-05:00,3.068
2016-03-10 19:30:00-05:00,3.028
2016-03-11 20:24:00-05:00,2.953
2016-03-12 21:12:00-05:00,3.048
2016-03-13 23:30:00-04:00,3.228
2016-03-15 00:18:00-04:00,3.524
2016-03-16 01:00:00-04:00,3.481
2016-03-17 02:06:00-04:00,3.235
2016-03-18 03:06:00-04:00,3.199
2016-03-19 04:12:00-04:00,2.946
2016-03-20 05:06:00-04:00,3.281
2016-03-21 06:00:00-04:00,3.369
2016-03-22 06:42:00-04:00,2.946
2016-03-23 19:42:00-04:00,2.244
2016-03-24 07:48:00-04:00,2.448
2016-03-24 20:12:00-04:00,3.33
2016-03-25 20:36:00-04:00,2.49
2016-03-26 21:12:00-04:00,3.015
2016-03-27 22:00:00-04:00,3.179
2016-03-28 22:24:00-04:00,1.847
2016-03-30 11:48:00-04:00,2.283
2016-03-31 00:12:00-04:00,2.828
2016-04-01 01:12:00-04:00,2.487
2016-04-02 14:54:00-04:00,2.802
2016-04-03 15:54:00-04:00,0.971
2016-04-04 04:18:00-04:00,2.717
2016-04-05 18:00:00-04:00,2.913
2016-04-06 18:18:00-04:00,4.183
2016-04-07 07:12:00-04:00,3.947
2016-04-08 07:42:00-04:00,2.927
2016-04-08 20:18:00-04:00,3.281
2016-04-10 09:36:00-04:00,2.605
2016-04-10 21:54:00-04:00,3.576
2016-04-11 22:42:00-04:00,3.192
2016-04-12 23:42:00-04:00,2.444
2016-04-14 00:36:00-04:00,2.959
2016-04-15 01:48:00-04:00,2.959
2016-04-16 02:48:00-04:00,2.966
2016-04-17 16:24:00-04:00,3.51
2016-04-18 17:06:00-04:00,3.146
2016-04-19 17:42:00-04:00,2.976
2016-04-20 18:24:00-04:00,3.34
2016-04-21 18:48:00-04:00,3.196
2016-04-22 19:42:00-04:00,3.153
2016-04-23 07:42:00-04:00,2.871
2016-04-23 20:00:00-04:00,2.907
2016-04-24 20:36:00-04:00,3.543
2016-04-25 21:24:00-04:00,3.396
2016-04-26 22:24:00-04:00,3.527
2016-04-27 22:48:00-04:00,3.481
2016-04-28 23:42:00-04:00,3.094
2016-04-30 00:30:00-04:00,3.192
2016-05-01 01:42:00-04:00,3.087
2016-05-02 02:48:00-04:00,3.294
2016-05-03 03:54:00-04:00,3.415
2016-05-04 17:30:00-04:00,4.026
2016-05-05 18:18:00-04:00,4.659
2016-05-06 18:54:00-04:00,4.705
2016-05-07 07:18:00-04:00,3.835
2016-05-07 20:00:00-04:00,4.239
2016-05-08 20:48:00-04:00,3.914
2016-05-09 21:36:00-04:00,3.432
2016-05-10 22:24:00-04:00,3.13
2016-05-11 23:24:00-04:00,3.094
2016-05-13 00:12:00-04:00,3.281
2016-05-14 01:06:00-04:00,3.038
2016-05-15 02:24:00-04:00,2.215
2016-05-16 15:54:00-04:00,1.995
2016-05-17 16:48:00-04:00,2.398
2016-05-18 17:12:00-04:00,3.068
2016-05-19 18:00:00-04:00,3.133
2016-05-20 18:36:00-04:00,3.038
2016-05-21 19:06:00-04:00,3.189
2016-05-22 19:48:00-04:00,3.55
2016-05-23 08:12:00-04:00,2.907
2016-05-23 20:18:00-04:00,3.514
2016-05-24 21:00:00-04:00,3.284
2016-05-25 21:42:00-04:00,3.127
2016-05-26 22:24:00-04:00,3.087
2016-05-27 23:18:00-04:00,3.084
2016-05-29 00:18:00-04:00,2.818
2016-05-30 01:18:00-04:00,3.241
2016-05-31 14:54:00-04:00,3.035
2016-06-01 16:00:00-04:00,3.284
2016-06-02 17:06:00-04:00,3.963
2016-06-03 17:54:00-04:00,3.993
2016-06-04 18:42:00-04:00,4.111
2016-06-05 19:36:00-04:00,4.114
2016-06-06 08:00:00-04:00,3.238
2016-06-06 20:30:00-04:00,3.993
2016-06-07 21:18:00-04:00,3.642
2016-06-08 22:06:00-04:00,2.904
2016-06-09 22:54:00-04:00,3.11
2016-06-10 23:36:00-04:00,3.13
2016-06-12 00:36:00-04:00,2.894
2016-06-13 14:12:00-04:00,2.707
2016-06-14 14:48:00-04:00,2.881
2016-06-15 15:54:00-04:00,3.127
2016-06-16 16:30:00-04:00,3.34
2016-06-17 17:18:00-04:00,3.629
