Date Time,Water Level,SiteID,Source,Date,Time,Identifier
2019-01-25 09:30:00-05:00,2.835,8551910,NOAA,2019-01-25,09:30:00,8551910-2019-0
2019-01-26 10:18:00-05:00,2.949,8551910,NOAA,2019-01-26,10:18:00,8551910-2019-1
2019-01-27 11:12:00-05:00,3.192,8551910,NOAA,2019-01-27,11:12:00,8551910-2019-2
2019-01-27 23:48:00-05:00,2.828,8551910,NOAA,2019-01-27,23:48:00,8551910-2019-3
2019-01-29 01:00:00-05:00,3.566,8551910,NOAA,2019-01-29,01:00:00,8551910-2019-4
2019-01-30 02:18:00-05:00,2.182,8551910,NOAA,2019-01-30,02:18:00,8551910-2019-5
2019-01-31 03:00:00-05:00,1.47,8551910,NOAA,2019-01-31,03:00:00,8551910-2019-6
2019-02-01 03:48:00-05:00,1.998,8551910,NOAA,2019-02-01,03:48:00,8551910-2019-7
2019-02-02 04:48:00-05:00,2.73,8551910,NOAA,2019-02-02,04:48:00,8551910-2019-8
2019-02-03 05:36:00-05:00,2.329,8551910,NOAA,2019-02-03,05:36:00,8551910-2019-9
2019-02-04 06:12:00-05:00,3.261,8551910,NOAA,2019-02-04,06:12:00,8551910-2019-10
2019-02-05 06:48:00-05:00,3.51,8551910,NOAA,2019-02-05,06:48:00,8551910-2019-11
2019-02-06 07:12:00-05:00,3.258,8551910,NOAA,2019-02-06,07:12:00,8551910-2019-12
2019-02-07 07:54:00-05:00,3.366,8551910,NOAA,2019-02-07,07:54:00,8551910-2019-13
2019-02-08 08:24:00-05:00,3.415,8551910,NOAA,2019-02-08,08:24:00,8551910-2019-14
2019-02-08 20:18:00-05:00,1.122,8551910,NOAA,2019-02-08,20:18:00,8551910-2019-15
2019-02-10 09:36:00-05:00,2.044,8551910,NOAA,2019-02-10,09:36:00,8551910-2019-16
2019-02-11 10:12:00-05:00,2.195,8551910,NOAA,2019-02-11,10:12:00,8551910-2019-17
2019-02-12 11:00:00-05:00,2.927,8551910,NOAA,2019-02-12,11:00:00,8551910-2019-18
2019-02-12 23:24:00-05:00,3.488,8551910,NOAA,2019-02-12,23:24:00,8551910-2019-19
2019-02-14 00:48:00-05:00,2.487,8551910,NOAA,2019-02-14,00:48:00,8551910-2019-20
2019-02-15 02:00:00-05:00,3.192,8551910,NOAA,2019-02-15,02:00:00,8551910-2019-21
2019-02-16 02:48:00-05:00,3.33,8551910,NOAA,2019-02-16,02:48:00,8551910-2019-22
2019-02-17 04:00:00-05:00,3.786,8551910,NOAA,2019-02-17,04:00:00,8551910-2019-23
2019-02-18 04:48:00-05:00,4.121,8551910,NOAA,2019-02-18,04:48:00,8551910-2019-24
2019-02-19 05:48:00-05:00,3.11,8551910,NOAA,2019-02-19,05:48:00,8551910-2019-25
2019-02-20 06:42:00-05:00,3.327,8551910,NOAA,2019-02-20,06:42:00,8551910-2019-26
2019-02-21 07:36:00-05:00,3.586,8551910,NOAA,2019-02-21,07:36:00,8551910-2019-27
