Date Time,Water Level,SiteID,Source,Date,Time,Identifier
2016-01-01 11:00:00-05:00,2.178,8551910,NOAA,2016-01-01,11:00:00,8551910-2016-0
2016-01-02 11:54:00-05:00,2.093,8551910,NOAA,2016-01-02,11:54:00,8551910-2016-1
2016-01-03 00:24:00-05:00,2.484,8551910,NOAA,2016-01-03,00:24:00,8551910-2016-2
2016-01-04 01:36:00-05:00,2.119,8551910,NOAA,2016-01-04,01:36:00,8551910-2016-3
2016-01-05 15:00:00-05:00,2.595,8551910,NOAA,2016-01-05,15:00:00,8551910-2016-4
2016-01-06 03:06:00-05:00,3.222,8551910,NOAA,2016-01-06,03:06:00,8551910-2016-5
2016-01-07 03:54:00-05:00,2.667,8551910,NOAA,2016-01-07,03:54:00,8551910-2016-6
2016-01-08 05:06:00-05:00,3.035,8551910,NOAA,2016-01-08,05:06:00,8551910-2016-7
2016-01-09 05:42:00-05:00,3.98,8551910,NOAA,2016-01-09,05:42:00,8551910-2016-8
2016-01-10 06:24:00-05:00,4.836,8551910,NOAA,2016-01-10,06:24:00,8551910-2016-9
2016-01-11 07:06:00-05:00,2.552,8551910,NOAA,2016-01-11,07:06:00,8551910-2016-10
2016-01-12 08:12:00-05:00,3.593,8551910,NOAA,2016-01-12,08:12:00,8551910-2016-11
2016-01-13 08:54:00-05:00,1.427,8551910,NOAA,2016-01-13,08:54:00,8551910-2016-12
2016-01-14 09:36:00-05:00,2.438,8551910,NOAA,2016-01-14,09:36:00,8551910-2016-13
2016-01-15 10:30:00-05:00,2.697,8551910,NOAA,2016-01-15,10:30:00,8551910-2016-14
2016-01-16 11:12:00-05:00,3.087,8551910,NOAA,2016-01-16,11:12:00,8551910-2016-15
2016-01-16 23:42:00-05:00,2.966,8551910,NOAA,2016-01-16,23:42:00,8551910-2016-16
2016-01-18 00:12:00-05:00,2.92,8551910,NOAA,2016-01-18,00:12:00,8551910-2016-17
2016-01-19 02:00:00-05:00,0.692,8551910,NOAA,2016-01-19,02:00:00,8551910-2016-18
2016-01-20 03:30:00-05:00,0.653,8551910,NOAA,2016-01-20,03:30:00,8551910-2016-19
2016-01-21 04:00:00-05:00,2.247,8551910,NOAA,2016-01-21,04:00:00,8551910-2016-20
2016-01-22 04:54:00-05:00,2.513,8551910,NOAA,2016-01-22,04:54:00,8551910-2016-21
2016-01-23 06:18:00-05:00,4.764,8551910,NOAA,2016-01-23,06:18:00,8551910-2016-22
2016-01-24 06:48:00-05:00,3.688,8551910,NOAA,2016-01-24,06:48:00,8551910-2016-23
