,Date Time,Water Level,SiteID,Source,Date,Time,Measured Water Level,VDatum,Offset,Identifier
0,2017-05-25 15:24:00-04:00,2.142,8570283,NOAA,2017-05-25,2023-05-28 15:24:00,2.142,NAVD,0.0,8570283-2017-144
1,2017-05-25 16:36:00-04:00,4.15,8557380,NOAA,2017-05-25,2023-05-28 16:36:00,4.15,NAVD,0.0,8557380-2017-145
2,2017-05-25 17:24:00-04:00,4.36,1484085,USGS,2017-05-25,2023-05-28 17:24:00,4.36,NAVD,0.0,01484085-2017-32231
3,2017-05-25 18:42:00-04:00,4.849,8551910,NOAA,2017-05-25,2023-05-28 18:42:00,4.849,NAVD,0.0,8551910-2017-144
4,2017-05-25 18:48:00-04:00,5.058,8551762,NOAA,2017-05-25,2023-05-28 18:48:00,5.098,MSL,-0.04,8551762-2017-144
5,2017-05-25 20:00:00-04:00,5.281000000000001,8540433,NOAA,2017-05-25,2023-05-28 20:00:00,5.131,MSL,0.15,8540433-2017-114
6,2017-07-24 16:54:00-04:00,1.886,8570283,NOAA,2017-07-24,2023-05-28 16:54:00,1.886,NAVD,0.0,8570283-2017-204
7,2017-07-24 17:18:00-04:00,3.94,8557380,NOAA,2017-07-24,2023-05-28 17:18:00,3.94,NAVD,0.0,8557380-2017-205
8,2017-07-24 19:06:00-04:00,4.46,1484085,USGS,2017-07-24,2023-05-28 19:06:00,4.46,NAVD,0.0,01484085-2017-46638
9,2017-07-24 20:12:00-04:00,4.642,8551910,NOAA,2017-07-24,2023-05-28 20:12:00,4.642,NAVD,0.0,8551910-2017-205
10,2017-07-24 20:18:00-04:00,4.98,8551762,NOAA,2017-07-24,2023-05-28 20:18:00,5.02,MSL,-0.04,8551762-2017-205
11,2017-07-24 21:12:00-04:00,5.206,8540433,NOAA,2017-07-24,2023-05-28 21:12:00,5.056,MSL,0.15,8540433-2017-174
12,2017-09-19 15:42:00-04:00,2.7,8570283,NOAA,2017-09-19,2023-05-28 15:42:00,2.7,NAVD,0.0,8570283-2017-261
13,2017-09-19 16:00:00-04:00,4.583,8557380,NOAA,2017-09-19,2023-05-28 16:00:00,4.583,NAVD,0.0,8557380-2017-262
14,2017-09-19 17:48:00-04:00,4.25,1484085,USGS,2017-09-19,2023-05-28 17:48:00,4.25,NAVD,0.0,01484085-2017-60062
15,2017-09-19 19:00:00-04:00,4.56,8551762,NOAA,2017-09-19,2023-05-28 19:00:00,4.6,MSL,-0.04,8551762-2017-261
16,2017-09-19 20:00:00-04:00,4.655,8540433,NOAA,2017-09-19,2023-05-28 20:00:00,4.505,MSL,0.15,8540433-2017-231
17,2017-09-20 19:24:00-04:00,4.396,8551910,NOAA,2017-09-20,2023-05-28 19:24:00,4.396,NAVD,0.0,8551910-2017-263
