Date Time, Water Level, Sigma,Flag, F, R, L, Quality 
2016-04-30 20:00:00-04:00,0.161,0.007,0,0,0,0,v
2016-04-30 20:06:00-04:00,0.233,0.006,0,0,0,0,v
2016-04-30 20:12:00-04:00,0.295,0.008,0,0,0,0,v
2016-04-30 20:18:00-04:00,0.374,0.008,0,0,0,0,v
2016-04-30 20:24:00-04:00,0.427,0.005,0,0,0,0,v
2016-04-30 20:30:00-04:00,0.502,0.006,0,0,0,0,v
2016-04-30 20:36:00-04:00,0.581,0.007,0,0,0,0,v
2016-04-30 20:42:00-04:00,0.692,0.01,0,0,0,0,v
2016-04-30 20:48:00-04:00,0.774,0.007,0,0,0,0,v
2016-04-30 20:54:00-04:00,0.869,0.005,0,0,0,0,v
2016-04-30 21:00:00-04:00,0.942,0.006,0,0,0,0,v
2016-04-30 21:06:00-04:00,1.04,0.006,0,0,0,0,v
2016-04-30 21:12:00-04:00,1.099,0.005,0,0,0,0,v
2016-04-30 21:18:00-04:00,1.145,0.006,0,0,0,0,v
2016-04-30 21:24:00-04:00,1.217,0.005,0,0,0,0,v
2016-04-30 21:30:00-04:00,1.273,0.007,0,0,0,0,v
2016-04-30 21:36:00-04:00,1.362,0.006,0,0,0,0,v
2016-04-30 21:42:00-04:00,1.417,0.005,0,0,0,0,v
2016-04-30 21:48:00-04:00,1.467,0.006,0,0,0,0,v
2016-04-30 21:54:00-04:00,1.545,0.006,0,0,0,0,v
2016-04-30 22:00:00-04:00,1.608,0.006,0,0,0,0,v
2016-04-30 22:06:00-04:00,1.663,0.007,0,0,0,0,v
2016-04-30 22:12:00-04:00,1.706,0.007,0,0,0,0,v
2016-04-30 22:18:00-04:00,1.713,0.008,0,0,0,0,v
2016-04-30 22:24:00-04:00,1.745,0.004,0,0,0,0,v
2016-04-30 22:30:00-04:00,1.818,0.004,0,0,0,0,v
2016-04-30 22:36:00-04:00,1.847,0.005,0,0,0,0,v
2016-04-30 22:42:00-04:00,1.854,0.006,0,0,0,0,v
2016-04-30 22:48:00-04:00,1.88,0.006,0,0,0,0,v
2016-04-30 22:54:00-04:00,1.903,0.005,0,0,0,0,v
2016-04-30 23:00:00-04:00,1.926,0.005,0,0,0,0,v
2016-04-30 23:06:00-04:00,1.939,0.006,0,0,0,0,v
2016-04-30 23:12:00-04:00,1.919,0.006,0,0,0,0,v
2016-04-30 23:18:00-04:00,1.896,0.006,0,0,0,0,v
2016-04-30 23:24:00-04:00,1.893,0.006,0,0,0,0,v
2016-04-30 23:30:00-04:00,1.933,0.005,0,0,0,0,v
2016-04-30 23:36:00-04:00,1.89,0.006,0,0,0,0,v
2016-04-30 23:42:00-04:00,1.857,0.005,0,0,0,0,v
2016-04-30 23:48:00-04:00,1.837,0.005,0,0,0,0,v
2016-04-30 23:54:00-04:00,1.808,0.006,0,0,0,0,v
2016-05-01 00:00:00-04:00,1.785,0.006,0,0,0,0,v
2016-05-01 00:06:00-04:00,1.726,0.005,0,0,0,0,v
2016-05-01 00:12:00-04:00,1.713,0.005,0,0,0,0,v
2016-05-01 00:18:00-04:00,1.716,0.005,0,0,0,0,v
2016-05-01 00:24:00-04:00,1.634,0.005,0,0,0,0,v
2016-05-01 00:30:00-04:00,1.608,0.005,0,0,0,0,v
2016-05-01 00:36:00-04:00,1.578,0.004,0,0,0,0,v
2016-05-01 00:42:00-04:00,1.486,0.007,0,0,0,0,v
2016-05-01 00:48:00-04:00,1.421,0.005,0,0,0,0,v
2016-05-01 00:54:00-04:00,1.368,0.006,0,0,0,0,v
2016-05-01 01:00:00-04:00,1.299,0.006,0,0,0,0,v
2016-05-01 01:06:00-04:00,1.214,0.006,0,0,0,0,v
2016-05-01 01:12:00-04:00,1.116,0.005,0,0,0,0,v
2016-05-01 01:18:00-04:00,1.011,0.005,0,0,0,0,v
2016-05-01 01:24:00-04:00,0.922,0.005,0,0,0,0,v
2016-05-01 01:30:00-04:00,0.833,0.005,0,0,0,0,v
2016-05-01 01:36:00-04:00,0.778,0.005,0,0,0,0,v
2016-05-01 01:42:00-04:00,0.686,0.005,0,0,0,0,v
2016-05-01 01:48:00-04:00,0.607,0.005,0,0,0,0,v
2016-05-01 01:54:00-04:00,0.528,0.006,0,0,0,0,v
2016-05-01 02:00:00-04:00,0.387,0.005,0,0,0,0,v
2016-05-01 02:06:00-04:00,0.279,0.007,0,0,0,0,v
2016-05-01 02:12:00-04:00,0.203,0.005,0,0,0,0,v
2016-05-01 02:18:00-04:00,0.131,0.005,0,0,0,0,v
2016-05-01 02:24:00-04:00,0.016,0.005,0,0,0,0,v
2016-05-01 02:30:00-04:00,-0.075,0.007,0,0,0,0,v
2016-05-01 02:36:00-04:00,-0.184,0.006,0,0,0,0,v
2016-05-01 02:42:00-04:00,-0.246,0.007,0,0,0,0,v
2016-05-01 02:48:00-04:00,-0.381,0.006,0,0,0,0,v
2016-05-01 02:54:00-04:00,-0.466,0.006,0,0,0,0,v
2016-05-01 03:00:00-04:00,-0.577,0.004,0,0,0,0,v
2016-05-01 03:06:00-04:00,-0.646,0.004,0,0,0,0,v
2016-05-01 03:12:00-04:00,-0.732,0.005,0,0,0,0,v
2016-05-01 03:18:00-04:00,-0.827,0.009,0,0,0,0,v
2016-05-01 03:24:00-04:00,-0.899,0.016,0,0,0,0,v
2016-05-01 03:30:00-04:00,-1.04,0.009,0,0,0,0,v
2016-05-01 03:36:00-04:00,-1.102,0.008,0,0,0,0,v
2016-05-01 03:42:00-04:00,-1.142,0.006,0,0,0,0,v
2016-05-01 03:48:00-04:00,-1.234,0.007,0,0,0,0,v
2016-05-01 03:54:00-04:00,-1.303,0.007,0,0,0,0,v
2016-05-01 04:00:00-04:00,-1.342,0.005,0,0,0,0,v
